,questions,short_answers,responses,logits_of_answers
16838,Answer the question concisely with only the answer: where does the vegas strip start and end? Answer:,Roughly between Sahara Avenue and Russell Road,The Las Vegas Strip starts at,0.9815454483032227
16839,Answer the question concisely with only the answer: where is most of the world's gold mined? Answer:,China,"South Africa and Australia.

##",0.6700726747512817
16840,Answer the question concisely with only the answer: when was the additional child tax credit introduced? Answer:,Taxpayer Relief Act of 1997,2021. Question,0.5903446674346924
16841,Answer the question concisely with only the answer: who is responsible for developing the concept of a suite of rules for packet network interconnection? Answer:,Defense Advanced Research Projects Agency (DARPA),Vint Cerf and Bob,1.0
16842,Answer the question concisely with only the answer: what part of the pavlovian model does the food represent? Answer:,stimulus,The Unconditioned Stimulus,0.8243695497512817
16843,Answer the question concisely with only the answer: who plays gabriel dean in rizzoli and isles? Answer:,Billy Burke,Angie Harmon. who plays k,0.6136690378189087
16844,Answer the question concisely with only the answer: what are the major imports of new zealand? Answer:,"Machinery and equipment, Vehicles and aircraft, petroleum, electronics, textiles, plastics","Food, machinery, vehicles,",0.8702707290649414
16845,Answer the question concisely with only the answer: where is dirty dancing supposed to take place? Answer:,A resort in the Catskill Mountains,in 1963 in a,0.648800253868103
16846,Answer the question concisely with only the answer: what construct was added to the theory of reasoned action to create the theory of planned behavior? Answer:,Perceived behavioral control,The concept of perceived behavioral control,0.7749874591827393
16847,Answer the question concisely with only the answer: what percentage of djiboutian workforce are employed in agriculture? Answer:,10 %,"60%
What percentage of",0.5873510241508484
16848,Answer the question concisely with only the answer: when was the mexican cession added to the united states? Answer:,1848,"1848.
Answer the",0.8955368399620056
16849,Answer the question concisely with only the answer: brent weeks lightbringer series book 5 release date? Answer:,"August 29, 2019","December 13, 201",0.7250581979751587
16850,Answer the question concisely with only the answer: who sang its a working man i am? Answer:,Rita McNeil,"Hank Williams Sr. sang """,0.7289460897445679
16851,Answer the question concisely with only the answer: who was involved in the battle of chateauguay? Answer:,"British force consisting of, 630 regulars, volunteers, Militia and Native Americans from Lower Canada, American force","British and Canadian forces, led",0.7131377458572388
16852,Answer the question concisely with only the answer: how many seasons of happy days are on dvd? Answer:,six,"11
Answer the question",0.8282144069671631
16853,Answer the question concisely with only the answer: when did it become law to wear seat belts in the uk? Answer:,1983,"1983.
Answer the",0.907511830329895
16854,Answer the question concisely with only the answer: who is chief justice of gujarat high court? Answer:,Justice R. Subhash Reddy,Manjula Chellur,0.8222381472587585
16855,Answer the question concisely with only the answer: what gift is given on the 8th day of christmas? Answer:,Maids a-Milking,Eight maids a-mil,0.7866257429122925
16856,Answer the question concisely with only the answer: who plays pimp lo in pitch perfect 3? Answer:,Moises Arias,Keegan-Michael Key.,0.882369875907898
16857,Answer the question concisely with only the answer: what is the holy of holies in the old testament? Answer:,The inner sanctuary of the Tabernacle where God dwelt,"The Most Holy Place, also",0.6540923714637756
16858,Answer the question concisely with only the answer: where did the bald eagle get its name? Answer:,"Older meaning of the word, `` white headed ''",From its white head and tail,0.729576051235199
16859,Answer the question concisely with only the answer: who is the primary villain in the 2014 film guardians of the galaxy? Answer:,Roman the Accuser,Ronan the Accuser.,0.93378084897995
16860,Answer the question concisely with only the answer: who is the weeping prophet in the bible? Answer:,Jeremiah,Jeremiah. who is the we,0.7407135963439941
16861,Answer the question concisely with only the answer: who sang this girl is a woman now? Answer:,Gary Puckett & The Union Gap,Miley Cyrus. Note:,0.5842071175575256
16862,Answer the question concisely with only the answer: sherlock holmes movies in order robert downey jr? Answer:,"Sherlock Holmes, Sherlock Holmes : A Game of Shadows","Sherlock Holmes (2009),",0.9384533762931824
16863,Answer the question concisely with only the answer: jrr tolkien lord of the rings book order? Answer:,"The Fellowship of the Ring, The Two Towers and The Return of the King",1. The Fellowship of,0.9337810277938843
16864,Answer the question concisely with only the answer: who does tyler perry play in madea boo? Answer:,Brian,Tyler Perry plays the role of,0.7337826490402222
16865,Answer the question concisely with only the answer: when did the 24 hour news cycle start? Answer:,With the advent of cable television channels dedicated to news,The 24-hour news cycle,0.7513402700424194
16866,Answer the question concisely with only the answer: when did the first immigrants from germany arrived in america? Answer:,In the 1670s,"1683.
Answer the",0.6830447912216187
16867,Answer the question concisely with only the answer: how many miles away was the titanic from new york when it sank? Answer:,", 250","approximately 370 miles.
The",0.6640157699584961
16868,Answer the question concisely with only the answer: which term means involuntary contraction of the muscles surrounding the urethra? Answer:,Urge urinary incontinence,"DIF
Answer the question",0.6791096925735474
16869,Answer the question concisely with only the answer: when was the original ocean's 11 made? Answer:,1960,1960. Question:,0.7575494647026062
16870,Answer the question concisely with only the answer: who played lucille on kevin probably saves the world? Answer:,Lesley Boone,Alyson Hannigan.,0.8365644812583923
16871,Answer the question concisely with only the answer: what is the role of department of education? Answer:,"To `` establish policy for, Administer and coordinate most federal assistance to education, Collect data on US schools, And to enforce federal educational laws regarding privacy and civil rights. ''",The role of the department of,0.7871311902999878
16872,Answer the question concisely with only the answer: where is hydrochloric acid produced in the stomach? Answer:,Cells in the lining of the stomach,in the stomach lining cells.,0.4689335525035858
16873,Answer the question concisely with only the answer: who presides over the lower house in state legislatures? Answer:,Speaker of Vidal Sasha,The Speaker of the House.,0.9873570203781128
16874,Answer the question concisely with only the answer: how many california state senate members are there? Answer:,40,"40
Answer the question",0.8065397143363953
16875,Answer the question concisely with only the answer: what kind of government does fiji islands have? Answer:,Multiparty system,"Constitutional Monarchy.
What kind",0.538172721862793
16876,Answer the question concisely with only the answer: who plays harry in 3rd rock from the sun? Answer:,Milton French - Stewart,"Wayne Knight. 
Answer the",0.832263171672821
16877,Answer the question concisely with only the answer: when did the patriots win their first super bowl? Answer:,2001,"2001.
The New",0.5408986210823059
16878,Answer the question concisely with only the answer: what are the characteristics of high level programming language? Answer:,"Use natural language elements, Be easier to use, May automate (or even hide entirely) significant areas of computing systems",High level programming language has the,0.6195279359817505
16879,Answer the question concisely with only the answer: where did lyla go on girlfriends guide to divorce? Answer:,Portland,"The Hamptons.
Answer",0.7878255844116211
16880,Answer the question concisely with only the answer: who played anakin skywalker in the phantom menace? Answer:,Jake Matthew Lloyd,"Jake Lloyd. 
Answer the",0.9411060214042664
16881,Answer the question concisely with only the answer: when did grocery stores start using plastic bags? Answer:,1982,The 1950s.,0.738524317741394
16882,Answer the question concisely with only the answer: when is a species considered to be endangered? Answer:,Categorized as very likely to become extinct,When it is listed on the,0.6326917409896851
16883,Answer the question concisely with only the answer: what is the population of northern territory 2017? Answer:,"244,000","244,000. What",0.6804307699203491
16884,Answer the question concisely with only the answer: when did the von trapp family leave austria? Answer:,1938,"1938.
Answer the",0.9247288703918457
16885,Answer the question concisely with only the answer: where did the chickasaw live before the trail of tears? Answer:,"Mississippi, Alabama, Tennessee",The Chickasaw lived in,0.9693168997764587
16886,Answer the question concisely with only the answer: who are the singers on kirk franklin lean on me? Answer:,"Bono, Mary J. Blige, Crystal Lewis, R. Kelly","Kirk Franklin, Tasha Cob",0.8879033923149109
16887,Answer the question concisely with only the answer: one of the pledges of the philippines is to defend its? Answer:,Constitution,"sovereignty.
What is one of",0.5660580992698669
16888,Answer the question concisely with only the answer: who sings that song i can only imagine? Answer:,Mercy Me,Michael Bublé. Who,0.4938575029373169
16889,Answer the question concisely with only the answer: how many movies of the hunger games will there be? Answer:,four,"4
Answer the question",0.8205934762954712
16890,Answer the question concisely with only the answer: when does little league world series baseball start? Answer:,August,The Little League World Series typically,0.8256012797355652
16891,Answer the question concisely with only the answer: how many total pin codes are there in india? Answer:,nine,"2,422..",0.5139220952987671
16892,Answer the question concisely with only the answer: when does total war warhammer 2 take place? Answer:,"Than, Nazareth, The South lands, Austria",The events of Total War:,0.8289808034896851
16893,Answer the question concisely with only the answer: the biggest reservoir of carbon on earth is in the? Answer:,The ocean,the oceans. Thank you.,0.6283507347106934
16894,Answer the question concisely with only the answer: a paper can be folded how many times? Answer:,twelve,"7.
Answer the question",0.8603662252426147
16895,Answer the question concisely with only the answer: who sang the original blinded by the light? Answer:,Bruce Springsteen,Manfred Mann's Earth Band,1.0
16896,Answer the question concisely with only the answer: who explored the southwestern portion of the louisiana purchase? Answer:,"Lieutenant Zebulon Pike, Jr.",Zebulon Pike.,0.893409013748169
16897,Answer the question concisely with only the answer: what group established the first spanish settlements in texas? Answer:,Catholic missionaries,The Canary Islanders established the first,0.8359143137931824
16898,Answer the question concisely with only the answer: when will dragon ball super episode 130 be aired? Answer:,"March 18, 2018","Not yet, the latest episode",0.4424293041229248
16899,Answer the question concisely with only the answer: which breed of dog has won crufts most? Answer:,English Cocker Spaniel,The Cocker Spaniel.,0.7914762496948242
16900,Answer the question concisely with only the answer: vitamin b12 is essential for the proper functioning o? Answer:,Of the nervous system,"the nervous system.
What is",0.6755150556564331
16901,Answer the question concisely with only the answer: how many teams in ncaa div 1 football? Answer:,130,"130.
The NCAA Division",0.7393251657485962
16902,Answer the question concisely with only the answer: when was the last time the red sox had a no-hitter? Answer:,"May 19, 2008","May 19, 201",0.7596153616905212
16903,Answer the question concisely with only the answer: who built the robot in lost in space? Answer:,Bob Stewart,"Will Robinson. 
In the",0.5947317481040955
16904,Answer the question concisely with only the answer: when can you withdraw money from ppf account? Answer:,15 years,At the age of 56,0.7021602392196655
16905,Answer the question concisely with only the answer: who dies in the beginning of fast and furious 7? Answer:,Han,Han. (Note: There,0.566737174987793
16906,Answer the question concisely with only the answer: what is the meaning of amina in arabic? Answer:,`` honest '' or `` trustworthy '',Trustworthy. What is the,0.5987278819084167
16907,Answer the question concisely with only the answer: who did culpepper play for in the nfl? Answer:,"Minnesota Vikings, Tampa Bay Buccaneers, Chicago Bears","Houston Texans. 
Who did",0.7750552892684937
16908,Answer the question concisely with only the answer: when did the yankees last win the world series? Answer:,2009,"2009.
Answer the",0.8746418952941895
16909,Answer the question concisely with only the answer: is a 12 volt system ac or dc? Answer:,DC,"DC. 
A 12",0.6289896368980408
16910,Answer the question concisely with only the answer: does the q train stop at 23rd street? Answer:,During late nights,No. The Q train does,0.7197818160057068
16911,Answer the question concisely with only the answer: who plays the oldest sister on last man standing? Answer:,Amanda Fuller,Amanda Fuller. who plays the,0.8243750929832458
16912,Answer the question concisely with only the answer: when did us the duo audition for agt? Answer:,"June, 2018",2019. when did,0.755070686340332
16913,Answer the question concisely with only the answer: when does americas funniest home videos come on? Answer:,Sunday nights at / central,Check local listings for exact time,0.5979236960411072
16914,Answer the question concisely with only the answer: who is the republican running for governor in georgia? Answer:,"Brian Kemp, Secretary of State of Georgia","Brian Kemp.
Answer the question",0.8719295263290405
16915,Answer the question concisely with only the answer: who played the wicked witch of the west in the original wizard of oz? Answer:,Margaret Barnard Hamilton,"Margaret Hamilton. 
Answer the",0.832232654094696
16916,Answer the question concisely with only the answer: when is the trials of apollo coming out? Answer:,"May, 2018",The Trials of Apollo series is,0.8446688055992126
16917,Answer the question concisely with only the answer: where do double yellow headed amazon parrots live? Answer:,Mexico and northern Central America,They live in the tropical rain,0.7166509628295898
16918,Answer the question concisely with only the answer: what is the name of lord farquaad's kingdom in shrek? Answer:,Duroc,"Duloc.
Answer the question",0.9630908966064453
16919,Answer the question concisely with only the answer: who plays mrs. potts in the new beauty and the beast movie? Answer:,Emma Thompson,"Emma Thompson.
Emma Thompson plays",0.667850136756897
16920,Answer the question concisely with only the answer: who is the red skull in captain america? Answer:,The archenemy of the superhero Captain America,"Baron Zemo. 
Who",0.7171587347984314
16921,Answer the question concisely with only the answer: who was the us president when pearl harbor was bombed? Answer:,Franklin D. Roosevelt,franklin d. roose,0.8672084808349609
16922,Answer the question concisely with only the answer: who wrote the original song the sound of silence? Answer:,Simon & Garfunkel,"Paul Simon.
Answer the question",0.8212739825248718
16923,Answer the question concisely with only the answer: when was the last time us hosted summer olympics? Answer:,1996,"1996. 
The",0.7755810022354126
16924,Answer the question concisely with only the answer: where did the saying the cat's meow come from? Answer:,American cartoonist Thomas A. Organ,The phrase is believed to have,0.7077860832214355
16925,Answer the question concisely with only the answer: who sang whose bed have your boots been under? Answer:,Shania Twain,"Pam Tillis. 
P",0.7431812286376953
16926,Answer the question concisely with only the answer: who gets the first pick in nba draft? Answer:,The lottery winner,The team with the worst record,0.9815454483032227
16927,Answer the question concisely with only the answer: what are the fox and the hounds names? Answer:,"Red fox named Tod, Hound dog named Copper",Tod and Copper. What is,0.7953895926475525
16928,Answer the question concisely with only the answer: which is the leading state in india in ship breaking industry? Answer:,Along,"Gujarat.
Which is the leading",0.7367444038391113
16929,Answer the question concisely with only the answer: what is the highest elevation town in colorado? Answer:,Alma,"Leadville, Colorado. Lead",0.7836901545524597
16930,Answer the question concisely with only the answer: what is the least populated state in the us? Answer:,Wyoming,"Wyoming. 
What is the",0.7363367080688477
16931,Answer the question concisely with only the answer: where is costa rica located on the globe? Answer:,"), Is a country in Central America, Bordered by Nicaragua to the north, Panama to the southeast, The Pacific Ocean to the west, The Caribbean Sea to the east, And Ecuador to the south","Central America, between Nicaragua and",0.7901093363761902
16932,Answer the question concisely with only the answer: who is the head basketball coach at alabama? Answer:,Avery DeWitt Johnson,"Nate Oats.
Nate",0.812798261642456
16933,Answer the question concisely with only the answer: where did panic at the disco come from? Answer:,"Las Vegas, Nevada","Las Vegas, Nevada.",0.8023154139518738
16934,Answer the question concisely with only the answer: education that combines academic study with community service is called? Answer:,Service - learning,Service learning. Service learning is,0.552114725112915
16935,Answer the question concisely with only the answer: to increase the demand for complementary products the price of a product often is? Answer:,decreased,lowered. - read more,0.6223429441452026
16936,Answer the question concisely with only the answer: where is the tomb in the taj mahal? Answer:,The central focus of the entire complex,The tomb is located in the,0.8100264072418213
16937,Answer the question concisely with only the answer: what happens to the notes in the western wall? Answer:,Collected twice a year and buried on the nearby Mount of Olives,They are buried beneath the stones,0.7058476805686951
16938,Answer the question concisely with only the answer: what is the boy in the striped pajamas name? Answer:,"Bruno (Butterfield), Shmuel (Cannon)",Bruno. What is the boy,0.8485061526298523
16939,Answer the question concisely with only the answer: when do new episodes of hells kitchen air? Answer:,"As of December 15, 2017",Wednesdays at 8,0.8110040426254272
16940,Answer the question concisely with only the answer: what is the medial bone of the forearm? Answer:,ulna,Ulna. 10,0.6476923227310181
16941,Answer the question concisely with only the answer: what is the meaning of the song i ran? Answer:,About a man who sees an attractive woman and attempts to run away from his feelings,"The song ""I Ran (",1.0
16942,Answer the question concisely with only the answer: episode of the office where michael drives into the lake? Answer:,`` Under Mifflin Infinity '',Casino Night. Answer the question,0.7292410731315613
16943,Answer the question concisely with only the answer: what is one reason that the framers include the third amendment in the bill of rights? Answer:,Intent to constrain executive power even during wartime,The framers included the third,0.8360785245895386
16944,Answer the question concisely with only the answer: what role did the beloved woman have in the cherokee tribe? Answer:,"Made a significant impact within their community, Exhibited great heroism on the battlefield","Spiritual leader.
What role did",0.5641700029373169
16945,Answer the question concisely with only the answer: who did mary tudor sister of henry viii marry? Answer:,"Louis XII of France, Charles Brandon, St Duke of Suffolk",Louis XII of France.,0.7381714582443237
16946,Answer the question concisely with only the answer: who is the longest living animal in the world? Answer:,"Jonathan, A Seychelles giant tortoise",Turritopsis dohrn,0.9873570203781128
16947,Answer the question concisely with only the answer: who plays thomas on the bold and the beautiful? Answer:,Pierson Dane Code,"2-time Emmy winner,",0.6446953415870667
16948,Answer the question concisely with only the answer: when did the dollar became the world currency? Answer:,By the end of the 20th century,There is no specific date when,0.8089806437492371
16949,Answer the question concisely with only the answer: how many levels are there in the simpsons tapped out? Answer:,939,"30
The Simpsons:",0.6856245994567871
16950,Answer the question concisely with only the answer: which links all the atm's in india? Answer:,National Financial Switch (NFS),National Highways. Answer the,0.7440468072891235
16951,Answer the question concisely with only the answer: when does the national football league regular season start? Answer:,"September, 2017","Late September.
The National Football",0.590438723564148
16952,Answer the question concisely with only the answer: who introduced the bass clarinet as a solo instrument in jazz? Answer:,Herbie Mann,"Benny Goodman. 
Answer the",0.6875172853469849
16953,Answer the question concisely with only the answer: who sings take it easy by the eagles? Answer:,Glenn Frey,"The Eagles. 
The song",0.629088819026947
16954,Answer the question concisely with only the answer: who wrote the book the zookeeper's wife? Answer:,The poet and naturalist Diane Ackerman,"Diane Ackerman.
Answer the",0.7807817459106445
16955,Answer the question concisely with only the answer: where is the new warriors arena being built? Answer:,The Mission Bay neighborhood of San Francisco,"Oakland, California. is the",0.7045354843139648
16956,Answer the question concisely with only the answer: when was the game of thrones adapted for tv? Answer:,"August 27, 2017",In 2011. When,0.6138108968734741
16957,Answer the question concisely with only the answer: who plays the priest in scary movie 2? Answer:,"James Woods, Andy Richter","Tom Atkins. 
Answer the",0.7965773344039917
16958,Answer the question concisely with only the answer: when is the new christopher robin coming out? Answer:,"August, 2018","March 16, 201",0.854965329170227
16959,Answer the question concisely with only the answer: in greek mythology who solved the riddle of the sphinx? Answer:,Oedipus,Oedipus.,0.9173589944839478
16960,Answer the question concisely with only the answer: during the middle ages who was most likely to own a manuscript or book? Answer:,"Monasteries, rulers, Wealthy individuals",Clergy and the wealthy.,0.6622327566146851
16961,Answer the question concisely with only the answer: who was involved in the 16th street church bombing? Answer:,"Four known KU Flux Klansmen and segregationists -- Thomas Edwin Blanton Jr., Herman Frank Cash, Robert Edward Chablis, And Bobby Frank Cherry","The Ku Klux Klan,",0.9047311544418335
16962,Answer the question concisely with only the answer: when did they discontinue the 2 dollar bill? Answer:,A current denomination of U.S. currency,"1969. 
I",0.6642406582832336
16963,Answer the question concisely with only the answer: when does harry potter and the chamber of secrets take place? Answer:,1992,The story takes place during Harry,0.6056571006774902
16964,Answer the question concisely with only the answer: when will the sequel to avatar be released? Answer:,"December 18, 2020",There is no official release date,0.8463461399078369
16965,Answer the question concisely with only the answer: who played the well walker in the walking dead? Answer:,Brian Billiard,"Jeffrey Dean Morgan. 
The",0.7039768099784851
16966,Answer the question concisely with only the answer: who owns green and black's organic chocolate? Answer:,Mondelez International,Green & Black's is a,0.7825980186462402
16967,Answer the question concisely with only the answer: who won the second battle of the marne? Answer:,The Allies,The Allied Powers won the second,0.7304930686950684
16968,Answer the question concisely with only the answer: when did khatron ke khiladi pain in spain start? Answer:,22 July 2017,"2020.
Khat",0.544569730758667
16969,Answer the question concisely with only the answer: kathakali dance from is associated with which state? Answer:,Kerala,Kerala. Step 1:,0.8155825138092041
16970,Answer the question concisely with only the answer: who was the us president when hiroshima was bombed? Answer:,President Truman,"Harry S. Truman.
Answer",0.8233438730239868
16971,Answer the question concisely with only the answer: who plays flash in the flash tv show? Answer:,Grant Austin,"Grant Gustin.
Answer the",0.803478479385376
16972,Answer the question concisely with only the answer: who wins ru pauls drag race season 5? Answer:,Jinx Monsoon,Jinkx Monsoon.,0.966770350933075
16973,Answer the question concisely with only the answer: when does marshall's dad die in how i met your mother? Answer:,13th episode of the sixth season,"Season 3, Episode",0.685749888420105
16974,Answer the question concisely with only the answer: what is the meaning of the hebrew name yael? Answer:,Nubian ibex,The Hebrew name Yael means,0.8270738124847412
16975,Answer the question concisely with only the answer: when will there be another star wars movie? Answer:,"December 20, 2019","2023.
Answer the",0.7328176498413086
16976,Answer the question concisely with only the answer: how many episodes are in quantico season 2? Answer:,22 episodes,22. If you want,0.7025312185287476
16977,Answer the question concisely with only the answer: who declared christianity the official religion of rome? Answer:,Emperor Theodosius I,Constantine the Great.,0.7274494171142578
16978,Answer the question concisely with only the answer: who wrote i will always love you dolly parton? Answer:,"American singer-songwriter, Dolly Parton",Dolly Parton did not,0.7639875411987305
16979,Answer the question concisely with only the answer: where does the prime minister of india hoist the flag on 15 august? Answer:,On the ramparts of the historical site Red Fort in Delhi,"Red fort
Answer the question",0.7711235284805298
16980,Answer the question concisely with only the answer: what is the nqf level of a national diploma? Answer:,Principles and guidelines,NQF level 6,0.9197317957878113
16981,Answer the question concisely with only the answer: what is the 9th station of the cross? Answer:,Jesus falls for the third time,Jesus falls the third time.,0.8763173818588257
16982,Answer the question concisely with only the answer: what was now hoping to bring attention to when it held the national womens strike for equality? Answer:,Equal opportunity in the workforce,Women’s rights and equal pay,0.5233094096183777
16983,Answer the question concisely with only the answer: who played the pastor in american horror story? Answer:,Rick Springfield,Joe Mantegna.,0.6931082606315613
16984,Answer the question concisely with only the answer: what is the setting for little house on the prairie? Answer:,"The prairie of Kansas, Around the town of Independence, Kansas",The American Midwest during the late,0.8160510063171387
16985,Answer the question concisely with only the answer: where does the pink floyd name come from? Answer:,"From the given names of two blues musicians whose Piedmont blues records Barrett had in his collection, Pink Anderson and Floyd Council",The name comes from two American,0.8280360102653503
16986,Answer the question concisely with only the answer: live from daryl's house where is it? Answer:,"In Miller ton, New York",It is located in Los Angeles,0.7469319105148315
16987,Answer the question concisely with only the answer: who is singing with evanescence in bring me to life? Answer:,Paul McCoy of the band 12 Stones,Paul McCoy. is the answer,0.6996912360191345
16988,Answer the question concisely with only the answer: how did the yellow press manufacture a war apush? Answer:,Due to sensationalist stories or exaggerations of the terrible conditions in Cuba,By sensationalizing and distorting,0.7602561712265015
16989,Answer the question concisely with only the answer: where did the blue mountains get its name from? Answer:,Blue tinge the range takes on when viewed from a distance,The Blue Mountains got its name,0.9599015712738037
16990,Answer the question concisely with only the answer: when did the iphone 5s first come out? Answer:,"September 20, 2013","September 20, 201",1.0
16991,Answer the question concisely with only the answer: what town in texas is sheldon cooper from? Answer:,Galveston,"Medford, Texas.",0.6065787672996521
16992,Answer the question concisely with only the answer: . who among the following won the honorary award at the 1st academy awards? Answer:,"Charlie Chaplin, Warner Brothers",Answer the question concisely with only the answer:. who among the following won the honorary award at the 1st academy awards? Answer: Emil Jannings. who,0.9445005655288696
16993,Answer the question concisely with only the answer: where is the worlds largest corn maze located? Answer:,"Cool Patch Pumpkins in Dixon, California","Minnesota, USA.",0.5642907023429871
16994,Answer the question concisely with only the answer: who dies in the shooting in grey's anatomy? Answer:,"Dr. Reed Adamson, Dr. Charles Percy",Lexie Grey. who dies,0.7216982841491699
16995,Answer the question concisely with only the answer: when did five finger death punch become a band? Answer:,2005,"2001. 
Five",0.7251279354095459
16996,Answer the question concisely with only the answer: powers specifically given to congress in the constitution are called? Answer:,Enumerated powers,Enumerated powers. Answer,0.6856036186218262
16997,Answer the question concisely with only the answer: who streaked across the stage at the 1974 academy awards? Answer:,Robert Opel,Janis Joplin.,0.6580995321273804
16998,Answer the question concisely with only the answer: when was the first fast and furious movie released? Answer:,2001,"2001. 
When",0.7940671443939209
16999,Answer the question concisely with only the answer: who played gypsy in the night of the grizzly? Answer:,Victoria Paige Meyer ink,"Victor Buono. 
Answer",0.6635413765907288
17000,Answer the question concisely with only the answer: who won the battle of cannae in 216 b.c? Answer:,"The army of Carthage, Under Hannibal","The Carthaginians,",0.7983514666557312
17001,Answer the question concisely with only the answer: a piece of news published before a rival newspaper can publish it is called a(n)? Answer:,scoop,"Scoop.

## Step",0.7592806816101074
17002,Answer the question concisely with only the answer: when does shameless us season eight come out? Answer:,"November, 2017","January 7, 201",0.8633958697319031
17003,Answer the question concisely with only the answer: when did war for the plant of the apes come out? Answer:,"July 14, 2017","2001. 
Note",0.8849479556083679
17004,Answer the question concisely with only the answer: who plays michelle's son alex in coronation street? Answer:,Dario Coates,"Jack James Ryan. 
Answer",0.7029223442077637
17005,Answer the question concisely with only the answer: happy trails to you is a line from the theme song to which 1950s tv western series? Answer:,The Roy Rogers Show,"Bonanza.
Answer the question",0.9406916499137878
17006,Answer the question concisely with only the answer: what country did the united states buy the gadsden purchase from? Answer:,James Gadsden,"Mexico
The Gadsden",0.8399642705917358
17007,Answer the question concisely with only the answer: where was where the wild things are movie filmed? Answer:,Melbourne,"Los Angeles, California, USA",0.659919261932373
17008,Answer the question concisely with only the answer: where can the central thesis of a persuasive research essay be found? Answer:,At the middle or end of the introductory paragraph,in the introduction. The introduction,0.6139090657234192
17009,Answer the question concisely with only the answer: when did nate robinson play for golden state? Answer:,2011 -- 2012 season,"2010. 
Answer",0.566617488861084
17010,Answer the question concisely with only the answer: what does the lake erie water snake eat? Answer:,Round Toby,"Fish, crayfish, and",0.8578068614006042
17011,Answer the question concisely with only the answer: who sings dream weaver in the leon's commercial? Answer:,Kevin Quiet,"Gary Wright.
Answer the question",0.8163074254989624
17012,Answer the question concisely with only the answer: how long is the men's super g course? Answer:,350 -- 650 m,"2,020 meters.",0.8216923475265503
17013,Answer the question concisely with only the answer: where is the 2020 olympic games going to be held? Answer:,Tokyo,"Tokyo, Japan.
Answer the",0.8659203052520752
17014,Answer the question concisely with only the answer: united states physicist who directed the project at los alamos that developed the first atomic bomb? Answer:,Robert Oppenheimer,J. Robert Oppenheimer,0.8995525240898132
17015,Answer the question concisely with only the answer: when did spike island close as a prison? Answer:,2004,"2001. 
When",0.7864136695861816
17016,Answer the question concisely with only the answer: where does the blood stripe go on the dress blues? Answer:,Down the outside leg seams of trousers,On the right side of the,0.6730724573135376
17017,Answer the question concisely with only the answer: who sings i'm gonna love you like im gonna lose you? Answer:,American singer and songwriter Meghan Trainer,"2 Chainz
Answer",0.540375828742981
17018,Answer the question concisely with only the answer: what is the most popular sport played in australia? Answer:,Australian football,"Australian Rules Football.
Australian Rules",0.7486521601676941
17019,Answer the question concisely with only the answer: who played brabinger in to the manor born? Answer:,John Ruling,Peter Barkworth.,0.507186770439148
17020,Answer the question concisely with only the answer: when does season 7 of game of thrones air on hbo? Answer:,"Premiered on, July 16, 2017, And concluded on August 27, 2017","April 16, 201",0.9223172068595886
17021,Answer the question concisely with only the answer: who all dies in grey's anatomy plane crash? Answer:,Dr. Lexie Grey,Mark Sloan and Lexie Grey,0.7894937992095947
17022,Answer the question concisely with only the answer: when was the last time the royals won a world series? Answer:,2015,"1965. 
When",0.6296241283416748
17023,Answer the question concisely with only the answer: who won season 8 america's next top model? Answer:,Jaylene Gonzalez,"Jaslene Gonzalez. 
Answer",0.8503831624984741
17024,Answer the question concisely with only the answer: who was the first man to travel in space? Answer:,Yuri Alekseyevich Gagarin,Yuri Gagarin.,0.8662245273590088
17025,Answer the question concisely with only the answer: a situation in which one person's emotions influence another person's emotions is known as? Answer:,Emotional contagion,"Emotional Contagion.
Em",0.8767770528793335
17026,Answer the question concisely with only the answer: what do you call a dog that is a mixture of many breeds? Answer:,"mongrel, Mixed - breed dog or mutt","A mutt.
What do",0.8255211114883423
17027,Answer the question concisely with only the answer: where was bon jovi wanted dead or alive filmed? Answer:,"From the band's massive 1986 - 1987 world tour, Including shots from Rochester NY's War Memorial Auditorium Chicago's UIC Pavilion, Rochester, Minnesota's Mayo Civic Center, Denver, Colorado's Nichols Arena, Pittsburgh, PA F. Pitt Tunnel and Pittsburgh Skyline, Oklahoma City, Huntington, WV, And other venues","Los Angeles, California. The",0.6314406991004944
17028,Answer the question concisely with only the answer: where do spongebob and patrick go in the movie? Answer:,Shell City,"Bikini Bottom. 
Answer",0.9133381843566895
17029,Answer the question concisely with only the answer: number of participants in the 1903 tour de france? Answer:,Sixty,"32.
Answer the question",0.6544572114944458
17030,Answer the question concisely with only the answer: what element is named after the russian chemist who arranged the periodic table? Answer:,mendelevium,"Mendeleev.
What is",0.546347439289093
17031,Answer the question concisely with only the answer: what school district is la habra high school in? Answer:,Fullerton Joint Union High School District,Hacienda La Puente,0.8470959067344666
17032,Answer the question concisely with only the answer: where was the legend of the lost filmed? Answer:,Libya,New Zealand. Source: https,0.5537900328636169
17033,Answer the question concisely with only the answer: which is the eighth planet from the sun (in order of increasing mean distance or semimajor axis)? Answer:,Neptune,"Neptune.
The eighth planet from",0.6556806564331055
17034,Answer the question concisely with only the answer: what type of company is a record label? Answer:,publishing,A music publishing company. What,0.6493349075317383
17035,Answer the question concisely with only the answer: how is sinhalese being declared official language of sri lanka? Answer:,"The act replaced English as the official language of Ceylon with Sinhalese. The act failed to give official recognition to Tamil, Which had not received official recognition before.",Through the 13th Amendment,0.9344896078109741
