Unnamed: 0,questions,short_answers,responses,matches
18073,Answer the question concisely with only the answer: when is the day of the death celebrated? Answer:,"October 31, November, November",On the day of the death,0
18074,Answer the question concisely with only the answer: what is the name of the circus in if i ran the circus? Answer:,Circus Gurus,Ringling Brothers and Barnum,0
18075,Answer the question concisely with only the answer: ratio of energy transferred by convection to that by conduction? Answer:,The Rayleigh number,1:1000000,0
18076,Answer the question concisely with only the answer: who is india's longest serving prime minister? Answer:,Jawaharlal Nehru,Atal Bihari V,0
18077,Answer the question concisely with only the answer: when is the next step season 5 coming out? Answer:,"May 26, 2017","Unfortunately, I am unable to",0
18078,Answer the question concisely with only the answer: who is the presiding officer of the house of representatives answers.com? Answer:,A member of the majority party who does not hold the chair of a standing committee,The Speaker of the House of,1
18079,Answer the question concisely with only the answer: banks such as merrill lynch took part in the accounting fraud by? Answer:,Enron,cooking the books and overstating,0
18080,Answer the question concisely with only the answer: what type of cancer did rocky have in creed? Answer:,Non-Hodgkin's lymphoma,"Brain Cancer. 
Note:",0
18081,Answer the question concisely with only the answer: when was the last time the dodgers and the yankees met in the world series? Answer:,1981,"1981.

Answer the",1
18082,Answer the question concisely with only the answer: who is the running back for the cowboys? Answer:,Rod Smith,"Ezekiel Elliott.
Answer the",0
18083,Answer the question concisely with only the answer: jackson and crawley three types of social contracts? Answer:,Ready - to - sign contracts (assimilating to mainstream values) ; quasi-completed contracts (adapting marginalized values to accommodate mainstream values) ; and co-completed contracts (validating both mainstream and marginalized values),1) Social Contract Theory,0
18084,Answer the question concisely with only the answer: when was journey to the center of the earth written? Answer:,1864,1864.... Read,1
18085,Answer the question concisely with only the answer: who played grumpy in once upon a time? Answer:,Lee Aren berg,Robert Carlyle. who played,0
18086,Answer the question concisely with only the answer: how long did it take to build the 7 mile bridge in the keys? Answer:,From 1978 to 1982,"3 years.?
The",0
18087,Answer the question concisely with only the answer: who played josh's brother on young and hungry? Answer:,Jayson Blair,"Josh Holland. 
Answer the",0
18088,Answer the question concisely with only the answer: where is the ionosphere located in the atmosphere? Answer:,"Upper atmosphere, From about 60 km (37 mi) to, 000 km (620 mi) altitude",In the upper atmosphere. Step,1
18089,Answer the question concisely with only the answer: who leads the senate according to the constitution? Answer:,Vice President of the United States,The President of the Senate.,1
18090,Answer the question concisely with only the answer: what is the real name of karan luthra? Answer:,Dheeraj Hooper,Karan Luthra's,0
18091,Answer the question concisely with only the answer: when was song of ice and fire written? Answer:,1991,"1996. 
The",0
18092,Answer the question concisely with only the answer: how many houses do you get in monopoly? Answer:,32,"28. 
If you",0
18093,Answer the question concisely with only the answer: who inaugurated maharashtra state on 1 may 1960? Answer:,Parliament of India,Yashwantrao Ch,0
18094,Answer the question concisely with only the answer: how many hockey games are in a season? Answer:,82,"82. 
Answer the",1
18095,Answer the question concisely with only the answer: what is the prevalent wind flow in the tropics? Answer:,Easterly surface winds,"Trade winds.
What is the",1
18096,Answer the question concisely with only the answer: what does mcl stand for in michigan law? Answer:,Michigan Compiled Laws,Motor Carrier Law. what is,0
18097,Answer the question concisely with only the answer: where does the show big little lies take place? Answer:,Monterey,"Monterey, California.?
Where",1
18098,Answer the question concisely with only the answer: where does the saying price of tea in china come from? Answer:,economists,It originated from the 19,0
18099,Answer the question concisely with only the answer: what does tdi stand for in vw jetta? Answer:,Turbocharged direct injection,"Turbocharged Direct Injection.
Answer",1
18100,Answer the question concisely with only the answer: who played private ryan in the action film saving private ryan? Answer:,Matt Damon,Matt Damon. Note: This,1
18101,Answer the question concisely with only the answer: where is the show lost in space filmed? Answer:,"Vancouver, British Columbia",The show Lost in Space was,0
18102,Answer the question concisely with only the answer: name the state at the easternmost part of india? Answer:,Arunachal Pradesh,Arunachal Pradesh.,1
18103,Answer the question concisely with only the answer: where was the first 4th of july parade? Answer:,"Bristol, Rhode Island","Philadelphia. 
The first Fourth",0
18104,Answer the question concisely with only the answer: when will house of cards season 6 air? Answer:,Late 2018,"Never, as the series was",0
18105,Answer the question concisely with only the answer: when does germany move to daylight savings time? Answer:,The last Sunday in March,The last Sunday in March and,1
18106,Answer the question concisely with only the answer: who wrote the song sare jahan se acha hindustan hamara? Answer:,Muhammad Iqbal,Pandit Govind Ram T,0
18107,Answer the question concisely with only the answer: what do the british use to measure weight? Answer:,stone,Stones. Answer the question conc,1
18108,Answer the question concisely with only the answer: what is a dopp kit called a dopp kit? Answer:,"The name derives from the early 20th century leather craftsman Charles Doppler, Whose company designed the case in 1919.","A toiletry bag.
What",0
18109,Answer the question concisely with only the answer: when did nhl home teams start wearing dark jerseys? Answer:,2003,2003-04 season,1
18110,Answer the question concisely with only the answer: where does the term here here come from? Answer:,House of Commons,"The term ""here here""",0
18111,Answer the question concisely with only the answer: where did the pilgrim fathers land in america? Answer:,"Plymouth, Massachusetts",Plymouth. Plymouth was their first,1
18112,Answer the question concisely with only the answer: who was the main force behind the kansas nebraska act? Answer:,"Democratic Senator Stephen A. Douglas of Illinois, President Franklin Pierce","Stephen Douglas.
Answer the question",1
18113,Answer the question concisely with only the answer: which volunteer organisation is responsible for providing the ip address to each computer? Answer:,Internet Assigned Numbers Authority (DIANA),"none.
Which Volunteer Organisation Is",0
18114,Answer the question concisely with only the answer: who killed sara lance in arrow season 3? Answer:,Thea,Ra’s al Ghul.,0
18115,Answer the question concisely with only the answer: who is called the beacon of light of asia? Answer:,"Prince Gautama Siddhartha, Who after attaining enlightenment became The Buddha, The Awakened One",Rabindranath Tagore,0
18116,Answer the question concisely with only the answer: who came up with daylight savings time wikipedia? Answer:,George Hudson,Benjamin Franklin. (Source:,0
18117,Answer the question concisely with only the answer: when is the eclipse supposed to be in 2017? Answer:,August 21,"August 21, 201",1
18118,Answer the question concisely with only the answer: what is the name of the smallest hummingbird? Answer:,Bee hummingbird,"Bee Hummingbird.
Answer",1
18119,Answer the question concisely with only the answer: who is the most followed person on twitter in the world? Answer:,Katy Perry,"Elon Musk. 
The most",0
18120,Answer the question concisely with only the answer: when did the cask of amontillado take place? Answer:,In an unnamed Italian city,The story takes place in the,1
18121,Answer the question concisely with only the answer: which type of hormone receptor plasma membrane bound or intracellular? Answer:,intracellular,"intracellular.

## Step",1
18122,Answer the question concisely with only the answer: who plays charlie in willy wonka and the chocolate factory? Answer:,Peter Gardner Rostrum,"Gene Wilder.
Answer the",0
18123,Answer the question concisely with only the answer: who was heading the indian army during the liberation war of 1971? Answer:,Chief of the Army Staff General Sam Ganesha,General Jagjit Singh Aurora.,1
18124,Answer the question concisely with only the answer: who plays mr big on sex and the city? Answer:,Christopher David `` Chris '' Not,"Chris Noth. 

Answer",1
18125,Answer the question concisely with only the answer: when does the christmas market in birmingham start? Answer:,2001,The Birmingham Frankfurt Christmas Market typically,0
18126,Answer the question concisely with only the answer: who created take me out to the ballgame? Answer:,Jack Nor worth and Albert On Tiller,"Jack Norworth. 
The",1
18127,Answer the question concisely with only the answer: when was the surface mining control and reclamation act written? Answer:,1977,"1977. 
Surface",1
18128,Answer the question concisely with only the answer: who wrote you know i'm no good? Answer:,Amy Winehouse,"Ray Charles. 
What is",0
18129,Answer the question concisely with only the answer: what gun does ed harris used in westworld? Answer:,Left revolver,A Manurhin MR73,0
18130,Answer the question concisely with only the answer: who does michelle pfeiffer play in ant man? Answer:,Janet van Done,Hope van dyne.,1
18131,Answer the question concisely with only the answer: what are the largest races in the world? Answer:,Han Chinese,The largest races in the world,0
18132,Answer the question concisely with only the answer: what is the full form of n c c? Answer:,National Cadet Corps,"National Consumer Council.
What is",1
18133,Answer the question concisely with only the answer: where did the planes that bombed pearl harbor take off from? Answer:,Northern Japan,The planes that bombed Pearl Harbor,0
18134,Answer the question concisely with only the answer: who plays edward in assassin's creed 4? Answer:,Matt Ryan,Mads Mikkelsen.,0
18135,Answer the question concisely with only the answer: who qualifies for the fifa club world cup? Answer:,"The winners of that year's AFC Champions League (Asia), CAF Champions League (Africa), CONCACAF Champions League (North America), Copa Libertadores (South America), OF Champions League (Oceania) and UEFA Champions League (Europe), Along with the host nation's national champions",The winners of the six continental,1
18136,Answer the question concisely with only the answer: who won the super bowl 2 years in a row? Answer:,"The Green Bay Packers, The Miami Dolphins, The Pittsburgh Steelers, The San Francisco 49ers, The Dallas Cowboys, The Denver Broncos, The New England Patriots",The 1985 Chicago Bears,1
18137,Answer the question concisely with only the answer: who played mr ripley in the film the talented mr ripley? Answer:,Matt Damon,"Matt Damon.
Answer the question",1
18138,Answer the question concisely with only the answer: who played fanny brice in funny girl on broadway? Answer:,Barbra Streisand,Barbra Streisand.,1
18139,Answer the question concisely with only the answer: why do we use properties file in java? Answer:,"Storing the name of the parameter (called the key), And the other storing the value",To separate configuration from code and,1
18140,Answer the question concisely with only the answer: how old is the story of king arthur? Answer:,Late TH to early TH century,The story of King Arthur is,1
18141,Answer the question concisely with only the answer: in rna the nitrogenous base that replaces thymine is? Answer:,Uracil,uracil. Step,1
18142,Answer the question concisely with only the answer: when was the movie lost in space made? Answer:,1998,"1998. 
Note",1
18143,Answer the question concisely with only the answer: where were the earliest civilizations of the middle east found? Answer:,"The earliest civilizations in history were established in the region now known as the Middle East around 3500 BC by the Sumerians, In Mesopotamia (Iraq), Widely regarded as the cradle of civilization.",Mesopotamia. (,1
18144,Answer the question concisely with only the answer: the film la historia oficial is about which period in argentina's history? Answer:,Last military dictatorship (1976 - 1983),the dirty war. Answer the,0
18145,Answer the question concisely with only the answer: who is the founder of arizona iced tea? Answer:,"John Ferocity, Don Vultaggio",John Ferolito and Don,1
18146,Answer the question concisely with only the answer: a quiceanera is held around the time a girl turns what age? Answer:,15,15. Answer the question,1
18147,Answer the question concisely with only the answer: who played saxophone on shine on you crazy diamond? Answer:,Dick Parry,Dick Parry and Snowy,1
18148,Answer the question concisely with only the answer: where is mumbai on the map of india? Answer:,On the Korean coast on the west coast of India,Mumbai is located on the western,1
18149,Answer the question concisely with only the answer: who holds the record for the longest field goal in college football? Answer:,"Matt, Matt Prater",Justin Tucker holds the record for,0
18150,Answer the question concisely with only the answer: when was the green party of canada founded? Answer:,A conference held at Carleton University in Ottawa in 1983,1983. is the,1
18151,Answer the question concisely with only the answer: where does fertilization of an ovum occur most often? Answer:,The ampulla of the fallopian tube,in the ampulla of the,1
18152,Answer the question concisely with only the answer: who are the quad city river bandits affiliated with? Answer:,Houston Astros,The Quad City River Bandits,0
18153,Answer the question concisely with only the answer: the soviet union's economic response to the marshall plan was the? Answer:,Molotov Plan,the soviet union's,0
18154,Answer the question concisely with only the answer: area near the equator where winds die out? Answer:,The doldrums,"Doldrums.
Answer",1
18155,Answer the question concisely with only the answer: how long did it take for titanic survivors to be rescued? Answer:,Just under two hours after the Titanic sank,Approximately 4 hours. How,1
18156,Answer the question concisely with only the answer: who selects the president when no candidate receives a majority of electoral votes? Answer:,House of Representatives,"The House of Representatives.
Answer",1
18157,Answer the question concisely with only the answer: who has the most subscribers on youtube chart? Answer:,PewDiePie,"PewDiePie. 
The",1
18158,Answer the question concisely with only the answer: who is the person who saved jon snow? Answer:,Melisande,Melisandre. who is,1
18159,Answer the question concisely with only the answer: when is the new ghostbusters movie coming out? Answer:,2016,"July 10, 202",0
18160,Answer the question concisely with only the answer: who does jessica marry in the merchant of venice? Answer:,Lorenzo,Lorenzo. The Merchant of Venice,1
18161,Answer the question concisely with only the answer: what language do they speak in the island of dominica? Answer:,"English, Dominican Creole French",English and French Patois,1
18162,Answer the question concisely with only the answer: when does series 6 of the next step start? Answer:,"In Canada in September 2018, In the UK on July 16, 2018","2024. 
Note",0
18163,Answer the question concisely with only the answer: who has the number one economy in the world? Answer:,United States,"China. 
China has the",0
18164,Answer the question concisely with only the answer: when did pakistan become member of united nations? Answer:,30 September 1947,"1947.
Answer the",1
18165,Answer the question concisely with only the answer: where is mac mcclung going to play college basketball? Answer:,Georgetown,"Gonzaga. 

Explanation:",0
18166,Answer the question concisely with only the answer: who makes the important economic decisions in a free market economy? Answer:,The forces of supply and demand,"Businesses. 
Answer the question",1
18167,Answer the question concisely with only the answer: when does prentiss come back to criminal minds? Answer:,Season 12,"Season 7. 
Who",1
18168,Answer the question concisely with only the answer: the current central bank of the united states is? Answer:,Federal Reserve,"The Federal Reserve.
Answer the",1
18169,Answer the question concisely with only the answer: where does the shoulder girdle attached to the axial skeleton? Answer:,The girdles are the parts of the appendicular skeleton that anchor the appendages to the axial skeleton,The shoulder girdle is,1
18170,Answer the question concisely with only the answer: when do they pull the power ball numbers? Answer:,Every Wednesday and Saturday evening at 10 : 59 p.m. Eastern Time,11 PM EST on Wed,0
18171,Answer the question concisely with only the answer: what is the number on the hogwarts express? Answer:,5972,9 3/4,0
18172,Answer the question concisely with only the answer: when did ed sheerans first album come out? Answer:,2011,"2006. 
When",0
18173,Answer the question concisely with only the answer: where does the belief in chakras come from? Answer:,"Hinduism, Hinduism, Jainism","Hinduism and Buddhism.
Answer",1
18174,Answer the question concisely with only the answer: when did channel islands became a national park? Answer:,"March, 1980","1985. 
When",0
18175,Answer the question concisely with only the answer: who plays the blonde in orange is the new black? Answer:,Taylor Schilling,Laverne Cox.,0
18176,Answer the question concisely with only the answer: google’s version of sponsored links that appear for certain keywords is called? Answer:,Google Ads,Google Ads. (Note:,1
18177,Answer the question concisely with only the answer: when does the new season of the real world start? Answer:,"October 12, 2016",The exact date is not yet,0
18178,Answer the question concisely with only the answer: when did fresh prince of bel air come out? Answer:,"September 10, 1990","1990. 
The",1
18179,Answer the question concisely with only the answer: who holds journalists responsible for the code of ethics? Answer:,Society of Professional Journalists,"Journalists themselves. 
Who",1
18180,Answer the question concisely with only the answer: when does everyone find out miley is hannah? Answer:,`` I'll Always Remember You '',in the final episode of the,0
18181,Answer the question concisely with only the answer: who plays ted in how i met your mother? Answer:,Joshua Rad nor,"Josh Radnor. 
Who",1
18182,Answer the question concisely with only the answer: what does lighting a candle in a catholic church mean? Answer:,"Prayers the worshiper is offering for him or herself, Or for other people",It symbolizes prayer and worship,1
18183,Answer the question concisely with only the answer: what did ted call lily in the grinch episode? Answer:,"`` a bad word ... a very, Very bad word '' (implied to be either `` bitch '' or `` cunt '' - based on the fact that Ted usually replaces the word `` bitch '' with the word `` beach, '' it is more likely the latter)",Sweetwater. What,1
18184,Answer the question concisely with only the answer: where is arunachal pradesh located in india map? Answer:,The northeastern-most state of the country,Arunachal Pradesh is,0
18185,Answer the question concisely with only the answer: where did the motto don't tread on me come from? Answer:,"Continental Marines, Mountie flag","The motto ""Don't T",0
18186,Answer the question concisely with only the answer: name of the capital city of the democratic republic of the congo? Answer:,Kinshasa,"Kinshasa.
Answer the",1
18187,Answer the question concisely with only the answer: where did the first ancient olympics take place? Answer:,"Olympia, Greece, In a sanctuary site for the Greek deities near the towns of Eli's and Pisa (both in Eli's on the peninsula of Peloponnese)","Olympia, Greece.
Answer the",1
18188,Answer the question concisely with only the answer: who made the law of conservation of energy? Answer:,Emilie Du Châtelet,"Julius Robert Mayer
Julius",0
18189,Answer the question concisely with only the answer: when did the baseball player jackie robinson die? Answer:,"October 24, 1972","1972.
The Jackie",1
18190,Answer the question concisely with only the answer: first tennis player to win four grand slam titles in a single year? Answer:,Don Budge,"Don Budge.
What is",1
18191,Answer the question concisely with only the answer: what gun does deadshot use in the movie? Answer:,Sniper rifle,A variant of the SMG,0
18192,Answer the question concisely with only the answer: who played sam and dean's father in supernatural? Answer:,Jeffrey Dean Morgan,Jeffrey Dean Morgan. who played,1
18193,Answer the question concisely with only the answer: english philosopher for whom a razor was named? Answer:,William of Occam,"Bertrand Russell. 
Answer",0
18194,Answer the question concisely with only the answer: how many sirens were there in the odyssey? Answer:,two,"3
The Odyssey is",0
18195,Answer the question concisely with only the answer: how old do you have to be to go to a hookah lounge in ny? Answer:,21,18. How to get,0
18196,Answer the question concisely with only the answer: where is the talking donkey in the bible? Answer:,Numbers 22 -- 24,In the book of Numbers.,1
18197,Answer the question concisely with only the answer: what was the purpose of the stamp act? Answer:,A direct tax on the Thirteen Colonies,To raise revenue for the British,1
18198,Answer the question concisely with only the answer: what months are summer in the southern hemisphere? Answer:,"June, July and August. However, According to the Irish Calendar, Summer begins on May and ends on August.","December, January, February,",0
18199,Answer the question concisely with only the answer: which nerve plexus plays a role in peristalsis? Answer:,The my enteric plexus,The enteric plexus,1
18200,Answer the question concisely with only the answer: who presided over the first session of muslim league at dhaka? Answer:,Away Sir Khan Salimullah,Nawab Salimullah.,1
18201,Answer the question concisely with only the answer: when does islamabad get maximum amount of rainfall? Answer:,July,May and June. Answer this,0
18202,Answer the question concisely with only the answer: who directed harry potter and the sorcerer's stone? Answer:,Chris Columbus,"Chris Columbus. 
The Harry",1
18203,Answer the question concisely with only the answer: a person's evaluation about his or her own worthiness is called? Answer:,Self-esteem,"self-esteem.
Answer the question",1
18204,Answer the question concisely with only the answer: when did the world celebrate it most recent millennium? Answer:,2000,"2000. 
The",1
18205,Answer the question concisely with only the answer: when did the 12 valve cummins come out? Answer:,1984,"1998. 
The",0
18206,Answer the question concisely with only the answer: for what historical figure was the city of ponce named? Answer:,"Juan Ponce de León y Layla, The great-grandson of Spanish conquistador Juan Ponce de León",Juan Ponce de León,1
18207,Answer the question concisely with only the answer: who is the publisher of the norton anthology american literature? Answer:,W.W. Norton & Company,W.W. Norton & Company,1
18208,Answer the question concisely with only the answer: who plays the black knight in monty python? Answer:,John Cheese,"John Cleese. 
John",1
18209,Answer the question concisely with only the answer: what ship was the surrender of japan signed on? Answer:,USS Missouri (BB - 63),"USS Missouri. 
The formal",1
18210,Answer the question concisely with only the answer: what kind of powder is used for fingerprinting? Answer:,A variety of compositions,"Latex powder.

## Step",1
18211,Answer the question concisely with only the answer: who played king joffrey on game of thrones? Answer:,Jack Gleeson,"Jack Gleeson. 
Answer",1
18212,Answer the question concisely with only the answer: who determined the mass to charge ratio of an electron? Answer:,J.J. Thomson,"Robert Millikan. 
Answer",0
18213,Answer the question concisely with only the answer: when do the knockout stages of the champions league start? Answer:,13 February,The knockout stages of the champions,0
18214,Answer the question concisely with only the answer: who is the girl in liar liar in the elevator? Answer:,Allen,"Rebecca Gayheart. 
Who",0
18215,Answer the question concisely with only the answer: where is the nfl hall of fame located? Answer:,"Canton, Ohio","Canton, Ohio. 
The",1
18216,Answer the question concisely with only the answer: who identified the authoritarian permissive and authoritative styles? Answer:,Diana Baum rind,Diana Baumrind.,1
18217,Answer the question concisely with only the answer: which layer of the osi model is responsible for end-to-end data transmission and error recovery? Answer:,The data link layer,Layer 4 (Transport Layer,1
18218,Answer the question concisely with only the answer: when did london win the 2012 olympic bid? Answer:,July 2005,"October 6, 200",0
18219,Answer the question concisely with only the answer: what article of the constitution provides that the executive power shall be vested in? Answer:,Article Two,"Article II
Answer the question",1
18220,Answer the question concisely with only the answer: where did the gap band name come from? Answer:,"Named after streets (Greenwood, Archer, And Pine) in the historic Greenwood neighborhood in the brothers' hometown of Tulsa, Oklahoma",The Gap Band name came from,1
18221,Answer the question concisely with only the answer: when does the new bring it come on? Answer:,"January 13, 2017",it's coming out this summer,0
18222,Answer the question concisely with only the answer: ratio of indian flag in length and breath? Answer:,"Two by three, Length of the flag is. Times that of the width",3:2. Thank,0
18223,Answer the question concisely with only the answer: name the two types of proteins that regulate the cell cycle. how do these proteins work? Answer:,"G proteins, Also known as guanine nucleotide - binding proteins, Their ability to bind to and hydrolyze guano sine triphosphate (GTP) to guano sine diphosphate (GDP)",Check all that apply. Cycl,0
18224,Answer the question concisely with only the answer: doctrine of lapse a was one of the causes of which rebellion? Answer:,The Indian Rebellion of 1857,Indian Rebellion of 1857,1
18225,Answer the question concisely with only the answer: what county is cherry hill new jersey in? Answer:,Camden,"Camden County. 
Note:",1
18226,Answer the question concisely with only the answer: what does the green in nigeria flag stand for? Answer:,Nigeria's natural wealth,Peace and unity. Show your,0
18227,Answer the question concisely with only the answer: when did belle isle became a state park? Answer:,2013,"1978. 
When",0
18228,Answer the question concisely with only the answer: what is the neutral current in a 3 phase system? Answer:,Centre hub,"zero.
Answer the question conc",0
18229,Answer the question concisely with only the answer: in the tv series buffy the vampire slayer what is buffy's last name? Answer:,Summers,Summers. Next question? Back,1
18230,Answer the question concisely with only the answer: how many times real madrid won club world cup? Answer:,three,"4 times. 
Answer",0
18231,Answer the question concisely with only the answer: who starred in the man who never was? Answer:,"Clifton Webb, Gloria Grahame, Robert Fleming","Clive Owen. 
The",0
18232,Answer the question concisely with only the answer: when was the last person drafted in the us? Answer:,June 1973,2022. When was,0
18233,Answer the question concisely with only the answer: when was the first snowfall by james russell lowell written? Answer:,1847,"1845. 
When",0
18234,Answer the question concisely with only the answer: where is simple squamous located in the body? Answer:,"capillaries, alveoli, glomeruli, Outer layer of skin and other tissues",Epithelial linings of,1
18235,Answer the question concisely with only the answer: if a corporation is formed then the owners are known as? Answer:,`` stockholders '' or `` shareholders '',"Shareholders.

## Step",1
18236,Answer the question concisely with only the answer: when did you have to be born to be a millennial? Answer:,Early 1980s as starting birth years and the mid-1990s to early 2000s as ending birth years,1981 or later.,0
18237,Answer the question concisely with only the answer: when skew is equal to zero a distribution is said to be? Answer:,symmetric,"normal
Answer the question conc",0
18238,Answer the question concisely with only the answer: who is the one that got away about? Answer:,Josh Groan,The fish. The one that,0
18239,Answer the question concisely with only the answer: when did the industrial revolution begin in france? Answer:,July 1799,1789. Explanation:,0
18240,Answer the question concisely with only the answer: who sang the song everybody's talkin at me? Answer:,Harry Wilson,"Harry Nilsson. 
Who",1
18241,Answer the question concisely with only the answer: who is ranked first in men's tennis? Answer:,Roger Federer,Novak Djokovic.,0
18242,Answer the question concisely with only the answer: who presented in parliament the seperate rail budget? Answer:,Minister of Railways,Mamata Banerjee.,0
18243,Answer the question concisely with only the answer: who plays samson's mom in the movie samson? Answer:,Lindsay Wagner,Lindsay Pulsipher. Lindsay,1
18244,Answer the question concisely with only the answer: naina real name in yeh un dino ki baat hai? Answer:,Ash Singh,Ashi Singh. 1,1
18245,Answer the question concisely with only the answer: when did the first macbook pro retina come out? Answer:,"October 23, 2012","2012.
The first",1
18246,Answer the question concisely with only the answer: where did most of the pirates come from? Answer:,"Welsh, English, Dutch, French","The Caribbean. 
Answer the",0
18247,Answer the question concisely with only the answer: who played the female lead role in rosemary's baby? Answer:,Mia Farrow,"Mia Farrow. 
Answer",1
18248,Answer the question concisely with only the answer: how many elementary schools are there in california? Answer:,560,"3,000.",0
18249,Answer the question concisely with only the answer: what is the upper limit of uric acid? Answer:,Upper end of the normal range is 360 MOL / L (mg / DL) for women and 400 MOL / L (. Mg / DL) for men,7.0 mg/d,1
18250,Answer the question concisely with only the answer: who sang dont you want somebody to love? Answer:,Grace Slick,B.J. Thomas.,0
18251,Answer the question concisely with only the answer: where is most of the water in the body located? Answer:,Intracellular fluid,In the cells. (2,0
18252,Answer the question concisely with only the answer: one method of choreography that merce cunningham is known for is? Answer:,non-representational,"Task-oriented choreography.
Answer",0
18253,Answer the question concisely with only the answer: when did the first spanish explore north america who was it where did they land? Answer:,"1492, Christopher Columbus, Caribbean Islands","1513, Juan P",0
18254,Answer the question concisely with only the answer: what was indiana jones looking for in raiders of the lost ark? Answer:,Ark,The Ark of the Covenant.,1
18255,Answer the question concisely with only the answer: how many nba players have scored 60 points in a game? Answer:,Twenty-five,60. Source: n,0
18256,Answer the question concisely with only the answer: where do curling stones come from in scotland? Answer:,Alisa Craig,The Ailsa Craig quarry,1
18257,Answer the question concisely with only the answer: who sings the mcdonald's jingle i'm lovin it? Answer:,Justin Timberlake,"Justin Timberlake. 
Who",1
18258,Answer the question concisely with only the answer: when was the last time the astros went to the world series? Answer:,2017,"2022.
Answer the",0
18259,Answer the question concisely with only the answer: new zealand is a part of what continent? Answer:,Submerged continent of Zealand,"australia.

## Step 1",0
18260,Answer the question concisely with only the answer: what year did the black album come out? Answer:,"August 12, 1991",1991. The Black,1
18261,Answer the question concisely with only the answer: where is the lad located in the heart? Answer:,"Passes at first behind the pulmonary artery and then comes forward between that vessel and the left atrium to reach the anterior interventricular Julius, Along which it descends to the notch of cardiac apex",In the left atrium.,1
18262,Answer the question concisely with only the answer: who owns the likeness and intellectual property of dead celebrities? Answer:,The person's heirs,"Their estates, heirs, or",1
18263,Answer the question concisely with only the answer: who arranged the periodic table by increasing atomic number? Answer:,Dmitri Mendeleev,Dmitri Mendeleev.,1
18264,Answer the question concisely with only the answer: when did the us separate church and state? Answer:,"January, 1802","1791.
Answer the",0
18265,Answer the question concisely with only the answer: who was the shooter in the florida shooting 2018? Answer:,Nikolas Cruz,"Nikolas Cruz.
Answer the",1
18266,Answer the question concisely with only the answer: where was the last scene of planet of the apes filmed? Answer:,Westward Beach,The last scene of the,0
18267,Answer the question concisely with only the answer: who becomes captain america after steve rogers dies? Answer:,Bucky Barnes,Sam Wilson (Falcon),0
18268,Answer the question concisely with only the answer: what type of store is the home depot? Answer:,An American home improvement supplies retailing company,Hardware store. Answer the question,1
18269,Answer the question concisely with only the answer: what did the supreme court rule in lawrence v. texas in 2003? Answer:,"Invalidated sodomy laws in 13 other states, Making same - sex sexual activity legal in every U.S. state and territory",The Supreme Court ruled that Texas,0
18270,Answer the question concisely with only the answer: what is the meaning of the book of romans? Answer:,That salvation is offered through the gospel of Jesus Christ,The book of Romans is a,1
18271,Answer the question concisely with only the answer: who is giving bigg boss voice in tamil? Answer:,Kamal Haas an,Rajinikanth. (,1
18272,Answer the question concisely with only the answer: who played james west on wild wild west? Answer:,Robert Conrad,Robert Conrad. Robert Conrad played,1
18273,Answer the question concisely with only the answer: who owned the chicken place in breaking bad? Answer:,`` Gus '' Bring,"Gus Fring. 
Who",1
18274,Answer the question concisely with only the answer: where and when does to kill a mockingbird take place? Answer:,"1933 -- 35, Maycomb, Alabama","Maycomb, Alabama in the",1
18275,Answer the question concisely with only the answer: who is the only bowler to have taken a hattrick in both inning in test match? Answer:,Jimmy Matthews,Dennis Lillee.,0
18276,Answer the question concisely with only the answer: what type of insurance is anthem blue cross? Answer:,Health care insurance,"Health Insurance
Other questions you",1
18277,Answer the question concisely with only the answer: who played billy mack's manager in love actually? Answer:,Gregor Fisher,Bill Nighy. who,0
18278,Answer the question concisely with only the answer: the m in mrna stands for messenger. why is this molecule called messenger rna? Answer:,RNA molecules that convey genetic information from DNA to the ribosome,Because it carries genetic information from,1
18279,Answer the question concisely with only the answer: where did the name nanaimo bar come from? Answer:,"The city of Nanaimo, British Columbia on Vancouver Island","The name ""Nanaim",1
18280,Answer the question concisely with only the answer: where did carrie bradshaw live in sex and the city? Answer:,"The fictional house number of 245, On East 73rd Street, Between Park and Madison","Manhattan.

## Step 1",0
18281,Answer the question concisely with only the answer: who plays claire on the big bang theory? Answer:,Alessandra Torres,"Kaley Cuoco
Answer",0
18282,Answer the question concisely with only the answer: which couple took on the rover return in 1995? Answer:,Jack (Bill Karma) and Vera Duckworth (Liz Dawn),"NASA and Russia. 

##",1
18283,Answer the question concisely with only the answer: who was president when the federal reserve was created? Answer:,Woodrow Wilson,"Woodrow Wilson. 
What",1
18284,Answer the question concisely with only the answer: who moved the objective resolution on 13 december 1946? Answer:,Jawaharlal Nehru,Jawaharlal Nehru,1
18285,Answer the question concisely with only the answer: when did atletico madrid last win la liga? Answer:,2016 -- 17 competition,"2014. 
When",0
18286,Answer the question concisely with only the answer: what type of dog is a blue heeler? Answer:,Australian Cattle Dog,"Australian Cattle Dog.
Australian",1
18287,Answer the question concisely with only the answer: where were the common wealth games 2014 held? Answer:,"Glasgow, Scotland","Glasgow, Scotland. 0",1
18288,Answer the question concisely with only the answer: who is hosting new years eve in hollywood? Answer:,Ciara,Ryan Seacrest.,0
18289,Answer the question concisely with only the answer: what school did they film the breakfast club? Answer:,Maine North High School,Glenbrook North High School.,1
