short_answers,responses,matches
insects,Butterfly. Answer the question conc,0
Denote either individual or team accomplishments,To identify their position.,0
2018,"December 17, 202",0
Over. a million men,Approximately 4 million. Source,0
27-Aug-17,The Game of Thrones series finale,0
86,"86. 
What is",1
"Vancouver, British Columbia, Canada","Fox Studios in Sydney, Australia",0
"Foreign Service Officer, Political appointee","ambassadors.
Answer the question conc",0
"Bethlehem, Moab",around 1000 bc.,0
Phillip Charles `` Phil '' Harris,"Tony Lara. 
Who was",0
Directionally along a nucleic acid phosphodiester backbone,"at the replication fork.
Answer",0
eagle,"Vulture. 
The myth",0
Charles Joel Nordstrom Cinnamon,Reg E. Cathey.,0
"A title card designer for the London branch of the American firm Famous Players - Lanky, The production arm of Paramount Pictures, At Arlington Studios",Hitchcock began his film career,0
Inefficiency and distortion in the market under given economic constraints,deadweight loss. (8,0
A cautionary tale regarding the American Dream.,A tragic love story. What,0
"Based on republicanism, With a semi-presidential system of government","Presidential republic.
Answer the question",0
1964,1964. when did,1
Sierra,Svetlana. Answer,0
Liberty Bowl Memorial Stadium,"Liberty Bowl Memorial Stadium.

Answer",1
16-Oct-18,"The TV show ""The R",0
chromosphere,chromophore. Answer the,0
ErvIn Drake,"The song ""When I Was",0
May 1848,"1848. 
The",0
Dover,"Dover.
Answer the question conc",1
28-Mar-18,"March 28, 201",1
"59 million words, 616,500 words - forms in total","Approximately 170,000 words",0
21-Oct-17,The next episode of Henry Danger,0
"1994 -- 95, 1995 -- 96, 1996 -- 97, 1997 -- 98 season",1994. Answer the,0
79%,"1 in 2,",0
The hands of the representatives,"The people, through their elected",0
Four days,"4 hours.
Answer the",0
Laura Gómez,Selenis Leyva.,0
The Commands,Thelma Houston.,0
1887,In 1892.,0
Which the standard economic unit of account is based on a fixed quantity of gold,when it fixes the value of,0
The effect of under stimulation on the narrator's mental health and her descent into psychosis,"The narrator, a woman,",0
Knossos,"Knossos.
Answer the",1
Iron and nickel,"liquid iron and nickel.
Answer",1
Singer Chuck Mosley,"Chuck Mosley. 

Who",0
Adapt,Cockatoo. Thank you,0
Private foundations,"Yes.
The final answer is",0
memoir,"d
Answer the question conc",0
4000 and 3000 BC,3000 BC.,0
"January, 2018","December 22, 201",0
"October, 2017","October 7, 201",0
Edward Elgar,"Elgar.
Answer the question",0
Rod Farinelli,"Rod Marinelli
Who was",0
An English language surname of Irish and Scottish Gaelic origin,The last name McGee is,0
2018,There is no official release date,0
England,"England. 
The question is",1
Prior to 400 CE,"400 AD. 

The",0
It is an onomatopoeia of the sound made by the sandals when walking in them.,"The term ""flip-flop",0
Kyle Martin Chandler,"Kyle Chandler. 
The coach",0
1987 -- 88 season,"1985. Next,",0
24-Jun-94,"1994. 
The",0
Erik Cornwall,"John Legend. 
Answer the",0
E-commerce,"E-commerce.
What is the",1
A new family move into the house who are seemingly unaware of all the ghosts they are `` borrowing it from. '',"The ending of ""I Am",0
Hurl Ravens croft,"Thurl Ravenscroft.
Answer",0
19 Commonwealth sports,"19 sports. 
Answer",0
"In and around Atlanta, Georgia","Atlanta, Georgia. 
Answer",0
Tabula ansatz,The tablet of law. What,0
Sikkim,Sikkim. Sikk,1
"Written by Islam Jones, With lyrics by Gus Khan",Isham Jones and Gus Kahn,0
The Entente in the Balkans and the Middle Eastern theater of World War I,The Ottoman Empire fought against the,0
United States Constitution,"Constitution. 
What document is",0
"552 m, , 811 ft","1,984 metres.",0
"In and around Atlanta, Georgia","Senoia, Georgia.",0
"Oklahoma, Tennessee","In Manchester, Tennessee.
The",0
The British,"the british.
Who won the",1
"Several victims, Including legacy character Will Horton",Stefan DiMera. The,0
673,"94.
The United States",0
Combines columns from one or more tables in a relational database,To combine data from multiple tables,0
Matt Prater,"Justin Tucker. 
Justin Tucker",0
Thames,Ving Rhames.,0
21-Oct-16,"October 14, 201",0
2016,2016.... Read,1
Songs documented to have been played by the band exceeds 500,"2,300.00",0
clergy,"The Clergy.
Who made",1
"The bone marrow, Produce antibody molecules",Plasma cells come from activated B,0
Gale Garrett,Fred Ebb and John K,0
%,1.2% -,1
Shape,Professor Slughorn.,0
1994,"1993.
Answer the",0
Pretty Little Liars,Pretty Little Liars.,1
sediment,Under rocks or coral reefs.,0
43,"47 floors.
The Mandal",0
"Athens, Greece","Athens, Greece. 
Answer",1
"Cities all around the world were hit hard, Especially those dependent on heavy industry",The working class and poor people,0
632AD,"632 AD.
The question",0
second,"2nd. 
Answer",0
The U.S. Environmental Protection Agency (EPA),"EPA.
Answer the question conc",0
Shawn Roberts,Noam Chomsky.,0
Denied Williams,"Deniece Williams. 
Answer",0
+,+7. The oxidation state,1
Scott McKenzie,"Scott McKenzie. 
If You",1
"The fourth season finale `` The Wrong Goodbye, ''",In 2023. when,0
Kimberley,"Cullinan, Gauteng",0
"Utah - Up - Din - Abbey, Founder of the Delhi Sultanate",Qutb-ud-d,0
connector,"Faucet.
What is the",0
Zidane,"Zidane.
Which of",1
"Lorenzo Music, Frank Walker, Bill Murray","Thom Huge. 
Answer the",0
Shanley Ca swell,Vanessa Ferlito.,0
1966,"1965.
Answer the",0
1744,1744. Next question,1
Europe,"the balkans.
World War",0
"The process of planning, organizing, coordinating, And controlling of a project effectively and efficiently throughout its phases, From planning through execution then completion and review to achieve pre-defined objectives or satisfying the project stakeholder by producing the right deliverable at the right time, Cost and quality","A structured approach to planning,",0
1994,"1996. 
What",0
John Quincy Adams,John Quincy Adams. Who won,1
"Off the west coast of Sumatra, Indonesia",off the coast of Indonesia.,0
1968,"1965.
Answer the",0
"Charles, Prince of Wales","Prince Charles.
What is the",0
2013,"2018. 

The",0
"Strange, Pavan, Basal",Pavan Putra. Question,0
judiciary,The judiciary. Read more:,1
1981,"1984. 
When",0
The synagogue,Bethsaida. (Mark,0
Bad - El - Man deb,Bab-el-Mandeb.,0
Debut solo album by John Frustrate,no.. Read more,0
Sedans Sadhu,The temple in the sea in,0
Greek Dark Ages,"The iron age.
What period",0
Before the TH century CE,There is no evidence to suggest,0
George Frederic Handel,George Frideric Handel,0
George H.W. Bush,Gerald Ford. Source: USA,0
A certification obtained by a student on successful completion of an examination at the end of study,A certificate awarded to students after,0
Patricia Hamilton,Meredith MacRae. who,0
To remember and commemorate the mistreatment of the country's indigenous population,National Sorry Day is a day,0
The University of Louisville Marching Band,Billy Long. (Note:,0
"From Halliday's mispronunciation of the name of the local cinema, The Tudor Cinema",From the two doors in the,0
1885,"1889. 
When",0
"Simon Cowell, Cheryl Fernandez - Versing, Rita Ora, Nick Scrimshaw",The judges on X Factor UK,0
Ego,Ronan the Accuser.,0
Ellis Boyd `` Red '' Redding,"Red. 
The Shawsh",0
North Carolina,Villanova Wildcats vs. North,0
Britt Robertson,"Blake Lively. 
Answer",0
Sometime between age and puberty,when the child is around,0
"IATA : SAN, ICAO : SAN, FAA LID : SAN","SAN
Answer the question conc",0
Broke his leg and then suffered a near - fatal heart attack,He was killed in a gun,0
"The American League (AL) champion team, The National League (NL) champion team",The winners of the American League,0
Alfred Stieglitz,Alfred Stieglitz.,1
168 stainless steel plates welded together,"Garbanzo beans, but",0
Internet Protocol,"Internet Protocol.

## Step",1
"Suez Canal Company, November 17, 1869",The Suez Canal was constructed,0
"The Peruvian rainforest on the Amazon River during an arduous five - week period, Shooting on tributaries of the Ucayali region","Peru, Bolivia, and Chile",0
Cesar Romero,"Bernie Mac. 
Who played",0
Michael James Hucknall,"Mick Hucknall.
What",0
Cavernous,"Capernaum.
Answer the",0
#NAME?,The game continues in the second,0
1996,1996.... Read,1
Trevor Noah,"Trevor Noah. 
Trev",1
Sometime between 2015 and 2018,"Unfortunately, there is no book",0
"Zac Brown Band, Chris Cornell",2Pac. who,0
Westinghouse Electric Company,"Nikola Tesla. 
Nik",0
"To lessen the risk of contamination from airborne particles settling on them, To prevent the accumulation of any water condensation that may otherwise disturb or compromise a culture",To prevent agar from flowing out,0
35 AU,about 3.28 billion,0
"Senate ratifies treaties and approves presidential appointments, House initiates revenue - raising bills, The House initiates impeachment cases, Senate decides impeachment cases",The main difference between the Senate,0
"Westminster, Central London, Near the boundary between Convent Garden and Osborn","London, United Kingdom.",0
Mark Zuckerberg,"Mark Zuckerberg. 
Answer the",1
Barry Bonds,"Barry Bonds.
Who is the",1
"Susannah family, Judah Al - Gouda family",The key is held by a,0
Alaska,Alaska. What state has the,1
Common law,"The British Parliament, specifically the",0
International Stock Market Slump,The U.S. was experiencing,0
Two hours,"30 minutes. 
The",0
Andy Sam berg,"Andy Samberg. 
The",0
Sun and his wife USA,"Surya.
The Ch",0
260,250. Source: Wikipedia,0
"Russia and Kazakhstan, Canada, Australia","Kazakhstan.
Answer the question conc",0
autotrophs,"Producer
Answer the question conc",0
Harry S. Truman,Harry S. Truman. Source,1
Shoulder joint,The rotator cuff is located,0
27-Oct-17,The 5th season of,0
A compact and cryptic piece of the Hermetic reputed to contain the secret of the prime material and its transmutation,A 6th-century text,0
"Bolivia, Paraguay","Bolivia, Paraguay, and",1
puberty,12-15 years old,0
"400 m (,300 ft)",3.5 kilometers.,0
Rasheed Wallace,Rod Strickland.,0
Los Angeles,"Los Angeles. 
Note:",1
60 million,"20 million.
How many",0
"Ordained priesthood, Common priesthood (or priesthood of all the baptized faithful)",There are several kinds of Catholic,0
Host Anton,"Hoyt Axton
Answer",0
"1966, 1970, 1983",2012 and 201,0
1986,"1932.
The use",0
To pay for British military troops stationed in the American colonies after the French and Indian War,The Stamp Act of 176,0
1937,"1937. 
What",1
2007,"1983. 
When",0
Sting,Mark Knopfler's,0
Religious freedom,To establish a safe haven for,0
2017,"2017. 
The",1
28-Mar-17,"1983.
The new",0
11 October 1899 -- 31 May 1902,The Boer War started in,0
"He, Ne, Ar, Kr, Xe, Rn",1. Argon (,0
Based on the 1962 Tennessee Williams film Sweet Bird of Youth,It means two people who are,0
17 ± times the mass of the Sun (M),"2,100 times bigger",0
Chinese,"China. 
Who controlled Vietnam",0
"Add W declinations when going True headings to Magnetic Compass, And subtract E ones",no. Answer the question conc,0
George Gershwin,George Gershwin. who,1
Michael Rapport,Jason Lee. who played frank,0
Sasha Velour,"Alaska.

Answer the question conc",0
"Suffers from osteoarthritis (degenerative arthritis) in his hands, Which is slowly worsening",Clay has a condition called Dup,0
"In the mobile encampment, Called `` Hell on Wheels '', That followed the rail head west across the Great Plains",The show is set in the,0
Tinnitus,It can be a sign of,0
"A 1902 song `` The Woodchuck Song '', Written by Robert Hobart Davis for Fay Templeton in the musical The Runaways",The tongue twister.,0
Taxpayer Relief Act of 1997,"2017. 
The",0
Blow fly,"Housefly.
What is a",0
Charmin Carr,"Julie Andrews. 
The Sound",0
"Two prefix letters, Six digits, And one suffix letter","9
Answer the question",0
New Radicals,Michael Bublé.,0
Los Angeles,"New York City. 
Answer",0
Ralf Mueller (AKA Rolf Muller),James Arness. who played,0
Bill de Blasio,"Bill de Blasio. 
Note",1
"Alan Price Set, Harry Wilson, Morrissey, Harper's Bizarre, Bobby Short, Alike Yang, Chervil River",The Wiggles.,0
"The Soviet Union, China, Other communist allies",The Soviet Union and China.,0
If more than one person leases the same property,A type of co-ownership,0
August,"July to October.
Answer the",0
Sunday nights at / central,Sundays at 7/6,0
31-May-09,"2009.
The Titanic",0
Arthur Conan Doyle's 1892 short story `` The Adventure of Silver Blaze '',It is the title of a,0
"Benjamin Rush (1745 -- 1813), An eminent physician at Pennsylvania Hospital",Dorothea Dix.,0
Delhi Airport Express Line of the Delhi Metro,"Violet Line.
Answer the question",0
1997,"2003.
Answer the",0
Daniel,Daniel. who did he meet,1
Freddie High more,"Freddie Highmore. 
What",0
Russia,"Russia.
What is the answer",1
Over the segregation of Japanese children in San Francisco schools,Japan was angry with the United,0
25-Sep-18,The second season of the Gift,0
Punjab,Maharashtra. Thank you for reading,0
In 2559,It takes place 26 years,0
Crime and health statistics analyst,Nail technician and beauty blogger.,0
Tony,"Carter. 
Answer the question",0
2017,2020. When did,0
10-Dec-48,"December 1948.
Answer",0
2017,"2017. 
Who",1
Denver Broncos,"Denver Broncos.

Answer the question",1
Jesse Frederick,Jaleel White. Who,0
Economize Crush,"Scorpions. 
Who",0
October,October 1st.,1
Naomi Watts,"Naomi Watts.
Answer the question",1
Congress,"The legislative branch.
What branch",0
"The United States, Canada, Mexico","The United States, Canada and",0
Lincoln Financial Field in Philadelphia,"Lincoln Financial Field in Philadelphia,",1
Version 10.11,10.11.6,0
Rachel Shelley,Mia Kirshner.,0
Peter,"Peter. 
The Hate U",1
"Atlanta, Georgia, Cartersville, Georgia","Various locations in North Carolina,",0
"Alabama Crimson Tide, Georgia Bulldogs","Alabama and Georgia.
Answer the",0
momentum,Momentum. Step-by-step reasoning,1
Mackenzie Christine For,Mackenzie Foy.,0
Estimated 150 million people are homeless worldwide,Approximately 2.3 billion,0
"Percy Jackson & the Olympians : The Lightning Thief, Percy Jackson : Sea of Monsters",Percy Jackson & the Olympians,1
"The Alabama Crimson Tide, The Georgia Bulldogs",Alabama won the 2020,0
"1968, 1981","1968.
The song",0
"Presell Hills, Glacial erratics by the Irish Sea Glacier, Modern - day Pembrokeshire in Wales",150 miles away from stone,0
Jul-11,1 january 201,0
The Magic Series - The Left-hand Path,"Yes, they have explored it",0
New York City,"The moon. 
Answer the",0
Paris,"Paris.
Which French city is",1
Finn Jones,Finn Jones. who is the,1
21-Sep,September 22 or 23,0
The Refreshments,The Refreshments. The Refresh,1
Evaluation and management,"Estimated maternal weight. 

##",0
Hennessy Performance Engineering,Hennessey Performance Engineering.,0
11-May,"June 4, 201",0
People qualified to make judgements about the suitability of a prisoner for return to free society,Judges or lawyers are typically appointed,0
"October, 2017",There is no official release date,0
Human fertilization,"Sexual reproduction.

## Step",0
Roberto Enrique Clemente Walker,Luis Aparicio. Luis,0
1911,"1881. 
In",0
kilogram,Grams. Answer the question,0
The Head region of western Arabia,"Badr.
What is the",0
342,"9,444. Answer",0
Satire on the music industry of the 1970s,Elton John's lyricist,0
"In excess of, 000 m (,600 ft)",3482 meters. What,0
J. Evan Boniface,"Jake Blues' son, El",0
Lower Manhattan,"Chinatown, Little Italy,",0
Montreal Canadiens,6 players have 6,0
referee,"The referee. 

If you",1
"Two terms, If served after November, 1990",2 four-year terms.,0
The Mackinac Island Hotel Company,The Grand Hotel on Mackin,0
The Mishnah,the mishnah. More questions,1
Police forensic scientist,A crime scene investigator. What,0
Falasha Towers,Naima Mora.,0
Lionel Barrymore,"George Bailey. 
Answer the",0
Jenna Coleman,"Jenna Coleman. 
Answer the",1
Thomas Wentworth Higgins on and Mabel Looms Todd,mabel loomis todd,0
Emily Wilding Davison,A beggar. who was,0
Spanish friar Juniper Serra,Spanish Franciscan friar,0
Eileen Davidson,"Susan Banks. 
The question",0
18-Mar-16,"1998. 
P",0
1972,"1972. 
The",1
1965,"1964. 
Answer",0
kiln,"Kiln
Answer the question",1
Roy Frank `` RJ '' Matte III,RJ Mitte. Thank you,0
Social Security,the widening wealth gap between the,0
Kenneth Wayne `` Ken '' Jennings III,"Ken Jennings.
What is the",0
On Independence Day,The Nathan's Hot Dog Eating,0
1977,1947. Next question,0
Chapters -- in the Book of Genesis,Genesis 6-9.,0
The San Francisco 49ers,"Peyton Manning. 

## Step",0
Barry Gibb,"Michael Bolton. 
Who wrote",0
"Dazed and Confused, How Many More Times, In the Light",Stairway to Heaven.,0
Brendan Graham,"Bono.
What is the",0
Alison Ste adman,"Melanie Walters.
Answer the question",0
Raphael Alejandro,Luis Gerardo Méndez,0
22,"13.
How Many Episodes",0
1973,"1973. 
The",1
Timothy Carter,The Antichrist.,0
Walter Daily,Nikola Tesla.  Nikola Tesla,0
The Federal Reserve,The Federal Reserve System.,1
1986,"1986. 
Answer",1
nine,"9 seasons. 
The",0
Justified,Justin Timberlake. What was,0
"Kostantiniyye, Istanbul","istanbul.
Answer the",0
Lionel Messi,James Rodriguez. 2014,0
Jackie Vernon,"Paul Frees.
The voice",0
Huey Lewis,"Sam Lerner. 
Note",0
Canterbury,York. Answer the question conc,0
In `` I'm Your Puppet '',Season 4. when does,0
Dan Stevens,"Dan Stevens. 
Beauty and",1
1980,2021. when was,0
Vicki Lawrence,"Nena. 
Nena",0
The beginning of the American colonies,1608. when was,0
By comparing altitudes of the midday sun at two places a known North - South distance apart,Eratosthenes measured,0
Thomas Carlyle,"Thomas Carlyle. 
The",1
David Lindley,"Michael McDonald. 
Answer the",0
1997,"1920. 
When",0
Paedophryne amanuensis frogs,The bumblebee bat.,0
Watery blood plasma,"small intestine. 
Answer the",0
"To reduce weight, Increase rigidity for a given total weight",Reduced rifling wear and easier,0
"Designed to guarantee equal rights for all citizens regardless of sex ; it seeks to end the legal distinctions between men and women in terms of divorce, property, employment, And other matters",To guarantee equal rights for women,0
On or within any of a number of human tissues and biofluids,"Everywhere. 
Answer the question",0
"Landau Eugene Murphy, Jr.","Kevin Skinner.
Answer the question",0
1970s,"1961.
When was",0
"October, 1971","June 1971.
Answer",0
"Ancient Athenian democratic principle of free speech, The late TH or early TH century BC",The phrase freedom of speech originates,0
Between 1950 and 1956,1950-1956,0
1985,"1960s.
The",0
"A Volkswagen advertisement created by Julian Koenig and Helmut Krone as part of an advertisement campaign managed by William Bernbach, All advertising executives with the firm Doyle Dane Bernbach in 1960","The term ""lemon car",0
"A Japanese KO - hotel - class, Two - man midget submarine",a large group of torped,0
Ryan Elder,Justin Roiland and Ryan Elder,1
20-Oct-44,"December 8, 194",0
American songwriter Diane Warren,"Sara Evans. 
I Could",0
Matthew Broderick,"Matthew Broderick.
Answer",1
architect,"architecture.
Answer the question conc",1
Of a brain tumor,Gerry died in a car accident,0
1920,"1920.
The Northwest",1
Soviet agents -- led by Irina Spark (Cate Blanchett) -- searching for a telepathic crystal skull,The Skull Cult and the Russian,0
Jimmy Roughing,Bonnie Raitt.,0
Byzantine,"Byzantine
Hagia",1
Earle Hyman,Larry Atkinson and Earle,0
Warsaw,"Poland, during World War II",0
macOS,"High Sierra.
Answer the question",0
A scene in the American stoner buddy crime comedy film Friday,"The catch phrase ""bye,",0
Mohandas,"Mohanlal. 
What",0
placenta,to the placenta.,1
Anglo - Scottish,"England. 

Explanation: The",0
Babe Ruth,"Reggie Jackson. 
Who has",0
In order to maintain our present position on the Pacific,Congress supported the building of the,0
The thirteen British colonies,The red stripe on the American,0
"Particularly in basic commodities including cotton, silk, Indigo dye, salt, saltpeter, tea, And opium","Textiles, tea, spices",0
"Supposedly a mummified mother and child,, Supposedly a mummified mother and child",a billboard. Answer the question,0
"Setting of academic standards for law schools, The formulation of model ethical codes related to the legal profession",The purpose of the American Bar,0
Oct-11,"2011.
Answer the",0
Agriculture,"Tourism and trade. 

##",0
Robert Carlyle,"Robert Carlyle. 

##",1
", 582 metric tons (147. a million oz. Troy)",$0.00. The,0
Red blood cells of all vertebrates (except the fish family Channichthyidae) as well as the tissues of some invertebrates,red blood cells. The tet,0
"The Stock horse breeds, Particularly the American Quarter Horse","American Quarter Horse.
What is",0
"Passes at first behind the pulmonary artery and then comes forward between that vessel and the left atrium to reach the anterior interventricular Julius, Along which it descends to the notch of cardiac apex",The septal leaflet of,0
Line McNeil,Devon Bostick.,0
"Connecting the Great Lakes with the Atlantic Ocean, Forming the primary drainage outflow of the Great Lakes Basin, Quebec and Ontario, International boundary between Ontario, Canada, And the U.S. state of New York, Provides the basis of the commercial Saint Lawrence Seaway","North America, between Canada and",0
Guy Marks,Elvis Presley. Answer the,0
President Johnson,"Robert E. Lee.
Answer",0
1967,"1967. 
When",1
1991,"1900.
What is",0
Remy,"Remy.
Answer the question",1
The United States Declaration of Independence,"The Declaration of Independence.
Answer",0
"`` I will not carry a gun, Frank. When I got thrown into this war I had a clear understanding with the Pentagon : no guns. I'll carry your books, I'll carry a torch, I'll carry a tune, I'll carry on, Carry over, Carry forward, Cary Grant, Cash and carry, Carry me back to Old Virginia, I'll even' hard Kari' if you show me how, But I will not carry a gun ! ''","""I will not carry a",0
milk,"from milk.
Answer the question",1
Roughly 14 million years ago,Around 6-8 million,0
Charlize Theron,Charlize Theron.,1
Richard Crispin Armitage,"Richard Armitage.
Answer",0
Gemma,Gemma Teller Morrow.,1
Byrnes,Cobie Smulders.,0
18-Jan-02,"1961. 
The",0
"Vancouver, Canada","Iowa, USA. 
The",0
Woody Harrelson,"Morgan Freeman. 
Answer the",0
The disaster film San Andreas,"American Graffiti.
American Gra",0
Tampa Bay Buccaneers,"The Buffalo Bills. 
Answer",0
"NIC Center, Cameron Money","The Vines. 
Who",0
"January, 2017","March 8, 201",0
émigrés,"Emigres.
Who were",0
ziggurat,Ziggurat. (Source,1
11-May-11,2017. 201,0
Bismarck,Otto von Bismarck,1
At UFC 12,1997. Answer the,0
"The fictional `` tired old town '' of Maycomb, Alabama, The seat of Maycomb County",The Deep South of the United,0
Huzzah,Uzzah. who was,0
"Significantly boosted the Continental Army's flagging morale, And inspired re-enlistments",It was a decisive victory for,0
Exclusively for nobility,The Canterbury Tales was written for,0
The Green Bay Packers,"The Green Bay Packers.
The",1
Psychological egoism,"selfish. 
Answer the question",0
Jessica `` Jessy '' Scram,"Lily James. 
Answer the",0
25,"142. 

Note:",0
Between Iran to the northeast and the Arabian Peninsula to the southwest,The Persian Gulf is located in,0
Ranging Coalfield,Jharia coal mine in,0
never,2001. 200,0
"Expectant mother is `` showered '' with gifts, `` first showing '' of the new baby to the wider family and circle of friends","The phrase ""baby shower""",0
Stephanie Courtney,"Stephanie Courtney. 
Answer the",1
1891,"1944.
Answer the",0
The `` achievements of women everywhere '',"A song by Alicia Keys,",0
Tom Hanks,"Tom Hanks. 
Answer",1
Frankie Avalon,"Frankie Avalon. 
Frank",1
Majority Leaders,"Speaker of the House.
What",0
"Casino cage, Gaming tables, Cashier station",At the snack bar or a,0
Tamil,"Tamil. 
Answer the question",1
Dr Tolerant Adele,Hamzat Obafemi,0
Alaska Pollock,"Cod.
What is the difference",0
Water distribution system,A municipal water supply system.,0
Vice President,"The vice president. 
Who",1
", 000 years ago",the southern part of the mex,0
crest,The crest. it is the,1
"Manchester, Mars den","Various locations in the UK,",0
Jockeyed,"Jochebed.
Joche",0
Checking In,"Good Times.
Answer the question",0
André Animal,"André Aciman. 
What",0
The parking lot for the Jockey Club,"the corner bar. 
Answer",0
From the petty kingdoms of early medieval Scotland and Anglo-Saxon England,The British royal family originated from,0
The Rockville Bridge,The Roman Bridge of Alc,0
Over 1100,"3. 
Answer the",0
Danny Butch,Danny Ponce. Who played,0
"In the name of the Father, And of the Son, And of the Holy Spirit",In the name of truth in,0
"Joaquin Phoenix (as Johnny Cash), Reese Witherspoon (as June Carter Cash), Waylon Payne (as Jerry Lee Lewis), Johnathan Rice (as Roy Orbison), Tyler Hilton (as Elvis Presley), Shooter Jennings (as Waylon Jennings)","Johnny Cash. 
The movie",0
Kirsten Nielsen,"Alejandro Mayorkas.
Ale",0
Steve Hunter and Dick Wagner,"Brad Whitford. 
The",0
"Central America, Caribbean","Canada, United States, Mexico",0
The eighth episode of the tenth season,"Season 12, Episode",0
Peter Michael Bergman,"Peter Bergman. 
Answer",0
"Jeff Bhaskar, Tyler Johnson, Alex Taliban",Harry Styles and Alex Salib,0
An atom or molecule making a transition from a high energy state to a lower energy state,When an electron moves from a,0
An executive order,Separation of Powers. (,0
"Goddesses of such things as charm, beauty, And creativity","Aglaea, Eup",0
Sam Cooke,Otis Redding.,0
Could happen as soon as 2019,2020. ## Step,0
Seems Biswas,"Seema Biswas.
Answer",0
"On both sides of the thalamus, Immediately beneath the cerebrum",In the middle of the brain,0
New Zealand,"New Zealand. 
Answer the",1
Tarry town,"Vermont. 
The Land of",0
Keira Knightley,"Keira Knightley.
Answer",1
Henri Pequot,J.R.D. Tata.,0
50,50. Answer the question,1
Fakir,4 out of 4,0
"In Central Africa, In a region known as west equatorial Africa","Central Africa.
The Congo River",0
"Vice Admiral Horatio Nelson, St Viscount Nelson",The original poster is now in,0
Ancient dispute between the Merchant Taylor's and Skinner's livery companies,"England. 
The phrase """,0
"Austria, Hungary, Croatia",The movie Season of the Witch,0
"The Sanskrit words शिष्य (SISA), Meaning a disciple, Or a student","Sanskrit
Answer the question",0
For bulk storage of grain,Storage of grains such as wheat,0
Simple repeating of a word,"Alliteration.
Answer the question",0
"24 October 1945, To promote international cooperation, To create and maintain international order",The United Nations was formed on,0
"October, 2000","2011.
Benjamin",0
Dates back to King James VI and I in the late 16th century,Ancient Greece. In ancient Greece,0
Norma Vaccine,William Fichtner.,0
Usually 100psi,1-10 inches of,0
"Jamestown, Virginia","Jamestown.

## Step",0
An tenor,Tithonus. Answer the,0
Alexandra Mandarin,Adam Brody. Who plays,0
Iker Cadillac,The German goalkeeper Oliver Kahn.,0
"William Garrett Walden, Known as W.G. Snuff Walden",W.G. Snuffy Wald,0
mastication,"Mouth.
Answer the question conc",0
George Tarn and Rivers Rutherford,"John Mayer
when i get",0
The music video for the 1987 Rick Astley song `` Never Going to Give You Up '',"The term ""Rickrolled""",0
"Above, 400 meters (,000 ft)","At around 8,000",0
Arabian Desert,"The Arabian Desert.

## Step",1
The favorite catchphrase of the Hanna - Barbara cartoon character Snagglepuss,"The phrase ""Heavens",0
Vice President of the United States,The Vice President. Answer the,0
Pyramid Head,"Pyramid Head. 
Answer the",1
Chicago's area caterers Dan Smith and Steve McDonald,Melissa d'arabian,0
Johnny Lewis,Maggie Siff. Maggie S,0
S phase (synthesis phase),"S phase.
Answer the question",0
"Maurice, Robin",Barry Gibb and Robin Gib,0
1945,"1945. 
What",1
"By the Congress with a two - thirds vote in both the House of Representatives and the Senate, By a convention of states called for by two - thirds of the state legislatures",Congress or a national convention.,0
Pump - action,"Pump action.
The Winchester Model",0
Spain,Channel 4's The State,0
Gadsden Purchase,"gadsden purchase.
The",1
21-Mar-17,October 2016.,0
 00 p.m PT (12 : 00 a.m. ET),The fight between Floyd Mayweather Jr,0
Joni James,Dean Martin. was the answer,0
"John Oates, Daryl Hall","Daryl Hall. 
Answer",0
"The battlements of Blarney Castle, Blarney, About kilometers (miles) from Cork, Ireland",In the Blarney Castle,0
Love Unlimited,"Mariah Carey. 
Who",0
29-Jun-09,"2009. 
The",0
Sophie Born,"Lisa Coleman. 
Answer the",0
Abigail `` Abbie '' Eaton,Freddie Flintoff and Paddy,0
"After Winnie, A Canadian black bear he often saw at London Zoo, And `` Pooh '', A swan they had met while on holiday",From A.A. Milne,0
"A stretch of California seacoast between Malibu and Oxnard, The far eastern end of Westward Beach, Between Yuma Beach and Point Due in Malibu","San Clemente Island, California",0
The TH century AD,"589 AD. 
When",0
"Alberta, Encompassing the southern third of the province, Including the Calgary area","Alberta, specifically the provinces of",0
A 47 - mile drive,3 miles. I am,0
A particular support meeting,"Amsterdam.
What is the main",0
Trixie Mattel,Trixie Mattel.,1
Bradley Cooper,"Bradley Cooper. 
Who does",1
25-Jun-51,"1954. 
When",0
"In the southeastern Pacific Ocean, At the southeasternmost point of the Polynesian Triangle in Oceania","In the Pacific Ocean, about",0
Alaska,"alaska.
Answer the question",1
"January, 2018",The winner of the Alabama Senate,0
Cuzco corn,"Yellow corn. 
The post",0
"Originally spoken in Labium, In the Italian Peninsula",It is called Latin because it,0
"Two - thirds (currently 34) of the state legislatures, The Congress with a two - thirds vote in both the House of Representatives and the Senate",Congress. Explanation: According to,0
2011,"2003.
Answer the",0
"The Gold Coast, Queensland, Australia","Birmingham. 
Answer the question",0
18-Jun-12,"2012. 
When",0
An investigation into the causes of difficulties between guards and prisoners in the United States Navy and United States Marine Corps,To study the effects of role,0
35,3.5 teams.,0
Jennifer Goodwin,Once Upon a Time - Rebecca,0
Gala Peeved,"Gayla Peevey.
Who",0
High speed giant slot car attraction,"High-speed ride
Answer the",0
"Albuquerque and Santa Fe, New Mexico","Los Angeles, California.",0
