,questions,short_answers,responses
237,Answer the question concisely with only the answer: legal age to get a driver's licence in sa? Answer:,18,16 years old.
238,Answer the question concisely with only the answer: who is the americas got talent winner 2017? Answer:,Darcy Lynne Farmer,The Winner of America's Got
239,Answer the question concisely with only the answer: who sings with michael buble on quando quando quando? Answer:,Nelly Furtado,"Diana Krall. 
Who"
240,Answer the question concisely with only the answer: what was the original name of bank of america? Answer:,Bank of Italy,"Bank of Italy.
Answer the"
241,Answer the question concisely with only the answer: who plays cain on young and the restless? Answer:,Daniel Richard Goddard,Riley Voelkel.
242,Answer the question concisely with only the answer: where is the hotel located in the movie the shining? Answer:,"The Stanley Hotel, Estes Park, Colorado",The Overlook Hotel is located
243,Answer the question concisely with only the answer: who was the actor that played newly on gunsmoke? Answer:,"Walter Clarence Taylor, III, Known as Buck Taylor","James Arness. 
Answer"
244,Answer the question concisely with only the answer: who overthrew the moneychangers' tables in the temple? Answer:,Jesus,Jesus. (Matthew 21
245,Answer the question concisely with only the answer: why is ancient greece often labeled the start of western civilization? Answer:,"First democratic system of government, Advances in philosophy, Science and mathematics",Due to its contributions to philosophy
246,Answer the question concisely with only the answer: who sings the song i am a warrior? Answer:,Scandal,Demi Lovato.
247,Answer the question concisely with only the answer: who is the netflix movie roxanne roxanne about? Answer:,Roxanne Shane,Roxanne Shanté.
248,Answer the question concisely with only the answer: who made the universal declaration of human rights? Answer:,The United Nations General Assembly,The United Nations General Assembly.
249,Answer the question concisely with only the answer: on whose work was the myers-briggs temperament indicator based? Answer:,Carl Jung,"Jung.
Answer the question conc"
250,Answer the question concisely with only the answer: when was the first weapon ready thermonuclear bomb tested? Answer:,1952,"August 6, 195"
251,Answer the question concisely with only the answer: who wrote all the songs in the sound of music? Answer:,"Richard Rodgers, Oscar Hammerstein II",Rodgers and Hammerstein.
252,Answer the question concisely with only the answer: is staten island in new jersey or new york? Answer:,New York,"New York. 
Is Staten"
253,Answer the question concisely with only the answer: how old is ian from shameless season 1? Answer:,15,"14. 
Note:"
254,Answer the question concisely with only the answer: where was the first mardi gras parade held? Answer:,"Mobile, Alabama","New Orleans. 
Answer the"
255,Answer the question concisely with only the answer: georges melie’s film a trip to the moon is known for being? Answer:,"The earliest example of the science fiction film genre and, More generally, As one of the most influential films in cinema history",the first science fiction film ever
256,Answer the question concisely with only the answer: when did houston astros join the american league? Answer:,In 2013,"2013.
The Houston"
257,Answer the question concisely with only the answer: who sings i'll be loving you forever? Answer:,New Kids on the Block,New Kids on the Block.
258,Answer the question concisely with only the answer: possession of burglary tools criminal code of canada? Answer:,Section 348,348 (1) Every
259,Answer the question concisely with only the answer: what is the physical nature of the hydrogen bond? Answer:,A hydrogen atom attached to a relatively electronegative atom will play the role of the hydrogen bond donor,It is a weak electrostatic
260,Answer the question concisely with only the answer: when do you use the left hand rule in physics? Answer:,As a simple way of working out the direction of motion in an electric motor,When calculating the torque on a
261,Answer the question concisely with only the answer: in what part of the body is the cephalic vein located? Answer:,In the arm,"Forearm. 
In what"
262,Answer the question concisely with only the answer: where did the mayflower land in the new world? Answer:,Cape Cod,"Provincetown Harbor,"
263,Answer the question concisely with only the answer: where were the olympic games held for the first time in asia? Answer:,Tokyo,"Seoul, South Korea.
The"
264,Answer the question concisely with only the answer: where did the idea for the wizard of oz come from? Answer:,Drawn from Baum's experiences,L. Frank Baum was inspired
265,Answer the question concisely with only the answer: who sings everybody is working for the weekend? Answer:,Lover boy,"Loverboy. 
Who sings"
266,Answer the question concisely with only the answer: the temple of athena nike was built with? Answer:,White Enteric marble,Pentelic marble. Next question
267,Answer the question concisely with only the answer: within the chain of infection the disease producing agent is referred to as? Answer:,Infectious disease,"Pathogen
Answer the question"
268,Answer the question concisely with only the answer: board game that takes 1500 hours to complete? Answer:,The Campaign for North Africa,"Gloomhaven.

Explanation:"
269,Answer the question concisely with only the answer: who was the film a beautiful mind based on? Answer:,"John Nash, A Nobel Laureate in Economics",John Nash. who was the
270,Answer the question concisely with only the answer: definition of the gift of the holy spirit? Answer:,An enumeration of seven spiritual gifts,The gift of the Holy Spirit
271,Answer the question concisely with only the answer: who recommended that upper and lower canada be merged and given a sole responsible government? Answer:,Lord Durham,Lord Durham. The Durham Report
272,Answer the question concisely with only the answer: who voiced the pink alien in american dad? Answer:,Kim Kardashian,Snoop Dogg.
273,Answer the question concisely with only the answer: what is the concealed carry law in arkansas? Answer:,"As of August 16, 2013 permits are no longer required to concealed carry a handgun when upon a journey. However, There is some confusion over the legality of permitless carry in Arkansas. For concealed carry, Arkansas still offers CCW permits on a `` shall issue '' basis. Open carry of handguns is permitted in some counties, And seems to be legal by a simple reading of the law, Yet some Arkansas states officials deny that it is legal.","In Arkansas, concealed carry is"
274,Answer the question concisely with only the answer: where did the dust bowl occur in the 1930's? Answer:,The American and Canadian prairies,The Great Plains in the United
275,Answer the question concisely with only the answer: where did european colonization of australia and oceania begin? Answer:,16th century,"Botany Bay, New South"
